TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,508129,658208,624732,663252,
I. Tien va cac khoan tuong duong tien,,22649,6679,9383,19612,
1. Tien,,22649,6679,9383,19612,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,210057,155690,182196,176155,
1. Phai thu ngan han cua khach hang,,208258,154675,180551,174204,
2. Tra truoc cho nguoi ban ngan han,,1792,1015,1556,1837,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,6,,89,114,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,269900,490479,431695,466824,
1. Hang ton kho,,269900,490479,431695,466824,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,5524,5359,1458,660,
1. Chi phi tra truoc ngan han,,49,39,117,45,
2. Thue GTGT duoc khau tru,,3628,3688,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,1759,1577,1341,615,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,89,56,,,
B. TAI SAN DAI HAN,,69138,66016,114338,119156,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,49011,45032,94088,98869,
1. Tai san co dinh huu hinh,,41706,37693,87558,92812,
- Nguyen gia,,434201,456648,530344,571412,
- Gia tri hao mon luy ke (*),,(392495),(418954),(442786),(478600),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,7305,7127,6530,6057,
- Nguyen gia,,16806,17302,17302,17371,
- Gia tri hao mon luy ke (*),,(9501),(10174),(10772),(11314),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,37,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,211,,37,
V. Dau tu tai chinh dai han,,19197,20054,20250,20250,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,20250,20250,
4. Du phong dau tu tai chinh dai han (*),,(1053),(196),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,20250,20250,,,
VI. Tai san dai han khac,,930,930,,,
1. Chi phi tra truoc dai han,,,,,,
2. Tai san thue thu nhap hoan lai,,930,930,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,577267,724223,739070,782408,
NGUON VON,,,,,,
A. NO PHAI TRA,,299111,421475,415241,403554,
I. No ngan han,,299111,421475,415241,403554,
1. Phai tra nguoi ban ngan han,,120363,48961,60823,53002,
2. Nguoi mua tra tien truoc ngan han,,-,,,21,
3. Thue va cac khoan phai nop Nha nuoc,,2357,4616,7542,16877,
4. Phai tra nguoi lao dong,,8197,12437,16955,14247,
5. Chi phi phai tra ngan han,,185,298,192,241,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1340,2653,2399,742,
10. Vay va no thue tai chinh ngan han,,163543,348117,322446,311129,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,3126,4392,4884,7294,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,278157,302748,323829,378854,
I. Von chu so huu,,278157,302748,323829,378854,
1. Von gop cua chu so huu,,131038,131038,131038,131038,
- Co phieu pho thong co quyen bieu quyet,,,,131038,131038,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
