TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,889885,740323,773890,747800,
I. Tien va cac khoan tuong duong tien,,17385,16164,86247,10327,
1. Tien,,17385,16164,86247,10327,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,803022,665471,601775,633742,
1. Phai thu ngan han cua khach hang,,20523,135033,92759,79182,
2. Tra truoc cho nguoi ban ngan han,,427214,421546,413843,461905,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,355301,108892,95172,92655,
7. Du phong phai thu ngan han kho doi (*),,(16),,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,68880,57056,80136,103030,
1. Hang ton kho,,69956,58131,81211,104105,
2. Du phong giam gia hang ton kho (*),,(1075),(1075),(1075),(1075),
V. Tai san ngan han khac,,597,1632,5732,701,
1. Chi phi tra truoc ngan han,,192,103,65,,
2. Thue GTGT duoc khau tru,,405,1529,5538,480,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,129,221,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,294139,471898,471900,470912,
I. Cac khoan phai thu dai han,,967,1042,975,975,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,967,1042,975,975,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,99227,12478,13683,13393,
1. Tai san co dinh huu hinh,,99227,12478,13683,13393,
- Nguyen gia,,121858,21858,23421,23501,
- Gia tri hao mon luy ke (*),,(22631),(9381),(9737),(10109),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,332,332,332,332,
- Gia tri hao mon luy ke (*),,(332),(332),(332),(332),
III. Bat dong san dau tu,,8218,100597,99945,99292,
- Nguyen gia,,8218,114764,114764,114764,
- Gia tri hao mon luy ke (*),,,(14167),(14819),(15472),
IV. Tai san do dang dai han,,3598,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,3598,,,,
V. Dau tu tai chinh dai han,,147241,323633,324804,326658,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,1974,300406,296578,298431,
3. Dau tu gop von vao don vi khac,,145265,23224,28224,28224,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,2,2,2,2,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,10840,10903,10049,30594,
1. Chi phi tra truoc dai han,,10778,9884,9174,8136,
2. Tai san thue thu nhap hoan lai,,62,1019,875,862,
3. Thiet bi vat tu phu tung thay the dai han,,,,,21596,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,24047,23245,22444,,
TONG CONG TAI SAN,,1184024,1212220,1245791,1218712,
NGUON VON,,,,,,
