TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,216527,239624,237671,247929,
I. Tien va cac khoan tuong duong tien,,179145,183778,200688,193579,
1. Tien,,14145,18364,21877,77767,
2. Cac khoan tuong duong tien,,165000,165414,178812,115812,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,33519,55532,36613,51529,
1. Phai thu ngan han cua khach hang,,31746,51758,33023,47811,
2. Tra truoc cho nguoi ban ngan han,,291,547,80,,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1482,3227,3510,3718,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,,,2500,
1. Hang ton kho,,,,,2500,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,3863,314,370,321,
1. Chi phi tra truoc ngan han,,3863,314,370,321,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,454767,445065,436170,424284,
I. Cac khoan phai thu dai han,,,,519,1655,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,519,1655,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,445004,432435,422190,409471,
1. Tai san co dinh huu hinh,,378487,366325,356486,344173,
- Nguyen gia,,613759,614015,616497,616318,
- Gia tri hao mon luy ke (*),,(235271),(247691),(260011),(272146),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,66516,66110,65704,65298,
- Nguyen gia,,79352,79352,79352,79352,
- Gia tri hao mon luy ke (*),,(12836),(13242),(13648),(14054),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,,
V. Dau tu tai chinh dai han,,9259,9082,9259,9259,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,7000,7000,7000,7000,
3. Dau tu gop von vao don vi khac,,2259,2259,2259,2259,
4. Du phong dau tu tai chinh dai han (*),,,(176),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,505,3548,4202,3900,
1. Chi phi tra truoc dai han,,505,3548,4202,3900,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,671294,684689,673841,672213,
NGUON VON,,,,,,
A. NO PHAI TRA,,131900,124439,97766,76882,
I. No ngan han,,59748,51506,49905,40220,
1. Phai tra nguoi ban ngan han,,10793,15119,8795,13741,
2. Nguoi mua tra tien truoc ngan han,,,,17,,
3. Thue va cac khoan phai nop Nha nuoc,,10113,9096,7335,8684,
4. Phai tra nguoi lao dong,,934,1434,3096,1708,
5. Chi phi phai tra ngan han,,535,1708,189,545,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,20479,15175,4463,4474,
10. Vay va no thue tai chinh ngan han,,12768,5384,22852,11068,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,4127,3590,3159,-,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,72152,72933,47861,36661,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,6678,5459,4240,4240,
8. Vay va no thue tai chinh dai han,,65474,67474,43622,32422,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,539393,560251,576074,595331,
I. Von chu so huu,,539393,560251,576074,595331,
1. Von gop cua chu so huu,,340000,340000,340000,340000,
- Co phieu pho thong co quyen bieu quyet,,340000,340000,340000,340000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,60123,60123,60123,60123,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,64185,64185,64185,64185,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,75085,95942,111766,131023,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,75188,95942,111816,
- LNST chua phan phoi ky nay,,,20755,15824,19207,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,671294,684689,673841,672213,
