TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,109130,91467,139921,101231,
I. Tien va cac khoan tuong duong tien,,26532,9924,45748,19118,
1. Tien,,26532,9924,19948,10118,
2. Cac khoan tuong duong tien,,,,25800,9000,
II. Dau tu tai chinh ngan han,,25800,25800,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,25800,25800,,,
III. Cac khoan phai thu ngan han,,21683,25277,14315,25674,
1. Phai thu ngan han cua khach hang,,11792,13325,5411,15880,
2. Tra truoc cho nguoi ban ngan han,,7114,8434,6632,7311,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,4465,5206,4426,4402,
7. Du phong phai thu ngan han kho doi (*),,(1687),(1687),(2153),(1919),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,22376,22810,69533,46482,
1. Hang ton kho,,22376,22810,69533,46482,
2. Du phong giam gia hang ton kho (*),,,,,
