TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,913826,934212,1303119,1369835,
I. Tien va cac khoan tuong duong tien,,95797,78178,87680,125070,
1. Tien,,78657,61103,82650,63865,
2. Cac khoan tuong duong tien,,17140,17075,5030,61205,
II. Dau tu tai chinh ngan han,,17144,1434,238980,240801,
1. Chung khoan kinh doanh,,17144,1434,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,238980,240801,
III. Cac khoan phai thu ngan han,,552757,609938,716529,710502,
1. Phai thu ngan han cua khach hang,,445907,548238,649537,687831,
2. Tra truoc cho nguoi ban ngan han,,95372,64109,40371,28785,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,3900,,
6. Phai thu ngan han khac,,66217,76862,101501,75774,
7. Du phong phai thu ngan han kho doi (*),,(54739),(79271),(78780),(81886),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,118831,133507,198202,209149,
1. Hang ton kho,,125568,137747,201587,211518,
2. Du phong giam gia hang ton kho (*),,(6737),(4240),(3385),(2369),
V. Tai san ngan han khac,,129297,111155,61728,84313,
1. Chi phi tra truoc ngan han,,4804,2788,23971,27071,
2. Thue GTGT duoc khau tru,,56046,25417,34451,56269,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2274,2913,3306,973,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,66173,80037,,,
B. TAI SAN DAI HAN,,774980,828145,892551,1049005,
I. Cac khoan phai thu dai han,,160,160,3744,7913,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,160,160,3744,7913,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,636247,540093,571361,788617,
1. Tai san co dinh huu hinh,,491558,493467,532482,618925,
- Nguyen gia,,638147,702220,805725,984055,
- Gia tri hao mon luy ke (*),,(146589),(208753),(273243),(365130),
2. Tai san co dinh thue tai chinh,,16,,,,
- Nguyen gia,,122,122,,,
- Gia tri hao mon luy ke (*),,(105),(122),,,
3. Tai san co dinh vo hinh,,34150,46626,38878,169692,
- Nguyen gia,,47406,67088,68102,210308,
- Gia tri hao mon luy ke (*),,(13257),(20462),(29224),(40616),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,130328,151701,81237,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,110524,130328,151701,81237,
V. Dau tu tai chinh dai han,,14755,17564,24818,30541,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,12468,17564,23838,29438,
3. Dau tu gop von vao don vi khac,,,,1666,1666,
4. Du phong dau tu tai chinh dai han (*),,(399),(686),(686),(686),
5. Dau tu nam giu den ngay dao han,,,,,123,
6. Dau tu dai han khac,,2686,686,,,
VI. Tai san dai han khac,,119269,133571,136684,137067,
1. Chi phi tra truoc dai han,,114802,130229,136234,136678,
2. Tai san thue thu nhap hoan lai,,2175,610,450,390,
