TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,506150,481140,582813,473816,
I. Tien va cac khoan tuong duong tien,,46275,43195,59754,43231,
1. Tien,,38933,35855,50995,35891,
2. Cac khoan tuong duong tien,,7342,7340,8759,7340,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,108320,97843,136326,116752,
1. Phai thu ngan han cua khach hang,,83678,83308,111992,94609,
2. Tra truoc cho nguoi ban ngan han,,13294,3883,4831,7480,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,650,,,,
6. Phai thu ngan han khac,,22981,22930,27735,22632,
7. Du phong phai thu ngan han kho doi (*),,(13237),(13237),(8591),(8599),
8. Tai san thieu cho xu ly,,955,960,359,631,
IV. Hang ton kho,,348340,337448,380804,312867,
1. Hang ton kho,,348340,337448,380804,313072,
2. Du phong giam gia hang ton kho (*),,,,,(205),
V. Tai san ngan han khac,,3214,2655,5929,967,
1. Chi phi tra truoc ngan han,,480,394,190,926,
2. Thue GTGT duoc khau tru,,2103,2222,5739,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,631,39,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,41,
B. TAI SAN DAI HAN,,105891,108269,106917,106223,
I. Cac khoan phai thu dai han,,,,,2068,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,2068,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,94840,97863,96201,93840,
1. Tai san co dinh huu hinh,,58928,61978,60357,58018,
- Nguyen gia,,134138,138657,138845,136270,
- Gia tri hao mon luy ke (*),,(75210),(76679),(78488),(78252),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,35912,35885,35844,35823,
- Nguyen gia,,37149,37149,37149,37149,
- Gia tri hao mon luy ke (*),,(1237),(1264),(1305),(1326),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,1530,823,2158,3832,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1530,823,2158,3832,
V. Dau tu tai chinh dai han,,6307,6307,5189,4745,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,8500,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,(2193),(2193),(3311),(3754),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,8500,8500,8500,,
VI. Tai san dai han khac,,3214,3276,3369,1738,
1. Chi phi tra truoc dai han,,1081,1144,1237,1673,
2. Tai san thue thu nhap hoan lai,,64,64,64,64,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,2068,2068,2068,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,612041,589409,689730,580039,
NGUON VON,,,,,,
A. NO PHAI TRA,,433634,410435,516051,400286,
I. No ngan han,,431571,408899,514566,399971,
1. Phai tra nguoi ban ngan han,,133287,121727,137151,127695,
2. Nguoi mua tra tien truoc ngan han,,2567,2499,2273,2302,
3. Thue va cac khoan phai nop Nha nuoc,,2390,3283,6017,5751,
4. Phai tra nguoi lao dong,,16172,16892,19132,8722,
5. Chi phi phai tra ngan han,,51,1218,787,266,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,1106,
9. Phai tra ngan han khac,,7456,7242,7119,9771,
10. Vay va no thue tai chinh ngan han,,266615,253999,339455,242442,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,3034,2039,2632,1915,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,2064,1536,1485,315,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,2064,1536,1485,,
7. Phai tra dai han khac,,,,,315,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,178407,178974,173679,179753,
I. Von chu so huu,,178407,178974,173679,179753,
1. Von gop cua chu so huu,,121039,121039,121039,121039,
- Co phieu pho thong co quyen bieu quyet,,121039,121039,121039,121039,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,1750,1750,1750,1750,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,770,770,770,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,21110,20725,20928,20928,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,27648,27491,22263,27970,
- LNST chua phan phoi luy ke den cuoi ky truoc,,15295,9243,9243,21110,
- LNST chua phan phoi ky nay,,12354,18249,13020,6860,
12. Nguon von dau tu XDCB,,,,,,
