TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,408358,425041,453725,438231,
I. Tien va cac khoan tuong duong tien,,6702,7143,11256,10015,
1. Tien,,6702,5143,11256,10015,
2. Cac khoan tuong duong tien,,,2000,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,70752,54506,88114,76444,
1. Phai thu ngan han cua khach hang,,65264,44125,75406,50245,
2. Tra truoc cho nguoi ban ngan han,,5726,15659,12999,26476,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,8108,8022,14319,15011,
7. Du phong phai thu ngan han kho doi (*),,(8346),(13301),(14683),(15289),
8. Tai san thieu cho xu ly,,,,73,,
IV. Hang ton kho,,316866,348720,322347,325103,
1. Hang ton kho,,470824,513453,351520,344164,
2. Du phong giam gia hang ton kho (*),,(153959),(164733),(29173),(19061),
V. Tai san ngan han khac,,14038,14673,32007,26669,
1. Chi phi tra truoc ngan han,,274,151,1491,728,
2. Thue GTGT duoc khau tru,,6375,3834,6320,7368,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4100,6560,24196,18574,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3289,4127,,,
B. TAI SAN DAI HAN,,200889,190621,224939,246205,
I. Cac khoan phai thu dai han,,,,132,1247,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,132,1247,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,200590,189589,118092,111030,
1. Tai san co dinh huu hinh,,108023,98975,114821,108273,
- Nguyen gia,,235152,243043,272832,282637,
- Gia tri hao mon luy ke (*),,(127129),(144068),(158011),(174364),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,2193,3828,3271,2757,
- Nguyen gia,,5420,9145,9145,9145,
- Gia tri hao mon luy ke (*),,(3227),(5317),(5874),(6388),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,104464,132313,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,90375,86787,104464,132313,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,299,1032,2251,1614,
1. Chi phi tra truoc dai han,,,888,2251,1614,
2. Tai san thue thu nhap hoan lai,,167,12,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,132,132,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,609247,615662,678665,684436,
NGUON VON,,,,,,
A. NO PHAI TRA,,574769,573918,612260,661798,
I. No ngan han,,567070,568547,607278,649244,
1. Phai tra nguoi ban ngan han,,83376,107582,154494,186065,
2. Nguoi mua tra tien truoc ngan han,,50,9110,7618,7798,
3. Thue va cac khoan phai nop Nha nuoc,,1816,3372,9453,4922,
4. Phai tra nguoi lao dong,,4457,3973,4146,4769,
5. Chi phi phai tra ngan han,,5965,3222,2399,1041,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,31773,38907,31987,27735,
10. Vay va no thue tai chinh ngan han,,438525,401366,396167,415898,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,1109,1015,1015,1015,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,7699,5370,4982,12554,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,200,450,450,
8. Vay va no thue tai chinh dai han,,7697,5127,4497,11978,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,2,43,34,126,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,34478,41745,66405,22637,
I. Von chu so huu,,34478,41745,66405,22637,
1. Von gop cua chu so huu,,132212,132212,132212,132212,
- Co phieu pho thong co quyen bieu quyet,,,,132212,132212,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,1995,1995,1995,1995,
9. Quy ho tro sap xep doanh nghiep,,,,,,
