TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,161227,193309,174232,426643,
I. Tien va cac khoan tuong duong tien,,5268,6580,1749,34695,
1. Tien,,5268,1580,1749,19695,
2. Cac khoan tuong duong tien,,,5000,,15000,
II. Dau tu tai chinh ngan han,,,5000,5000,65270,
1. Chung khoan kinh doanh,,,5000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,5000,65270,
III. Cac khoan phai thu ngan han,,99084,92741,97223,260162,
1. Phai thu ngan han cua khach hang,,83678,94874,101174,129945,
2. Tra truoc cho nguoi ban ngan han,,5237,2580,1183,132538,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,12842,372,733,3663,
7. Du phong phai thu ngan han kho doi (*),,(2673),(5085),(5867),(5984),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,43950,83899,57753,55931,
1. Hang ton kho,,43950,83899,57753,55931,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,12924,5089,12507,10584,
1. Chi phi tra truoc ngan han,,5193,4128,4988,9344,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,760,681,7518,1239,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,6972,280,,,
B. TAI SAN DAI HAN,,237952,227823,231945,202990,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,225826,213915,219015,189048,
1. Tai san co dinh huu hinh,,222930,213665,218825,188920,
- Nguyen gia,,281168,299377,335761,339972,
- Gia tri hao mon luy ke (*),,(58238),(85713),(116936),(151052),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,100,251,190,128,
- Nguyen gia,,189,389,389,389,
- Gia tri hao mon luy ke (*),,(88),(138),(199),(261),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,13,5177,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,2796,,13,5177,
V. Dau tu tai chinh dai han,,,,2600,2600,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,2600,2600,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,12126,13908,10318,6164,
1. Chi phi tra truoc dai han,,12126,13908,10318,6164,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,399179,421133,406177,629632,
NGUON VON,,,,,,
A. NO PHAI TRA,,173537,162476,103264,108462,
I. No ngan han,,159537,162476,103264,108462,
1. Phai tra nguoi ban ngan han,,58483,55024,41641,43614,
2. Nguoi mua tra tien truoc ngan han,,655,413,420,1086,
3. Thue va cac khoan phai nop Nha nuoc,,5055,4961,1545,3023,
4. Phai tra nguoi lao dong,,6324,8023,5352,7577,
5. Chi phi phai tra ngan han,,1450,1160,1120,1104,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,17,674,844,788,
10. Vay va no thue tai chinh ngan han,,87825,92645,52478,52106,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,(273),(424),(136),(835),
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,14000,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,14000,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,225641,258657,302913,521170,
I. Von chu so huu,,225641,258657,302913,521170,
1. Von gop cua chu so huu,,149999,156900,172589,255846,
- Co phieu pho thong co quyen bieu quyet,,,,172589,255846,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,43283,43161,43161,142194,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,5941,7293,11168,15157,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,25751,
