TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,2232558,2386250,2221373,2747174,
I. Tien va cac khoan tuong duong tien,,613287,496492,420713,603189,
1. Tien,,197503,108745,89511,270265,
2. Cac khoan tuong duong tien,,415784,387747,331202,332924,
II. Dau tu tai chinh ngan han,,170000,260617,507605,703731,
1. Chung khoan kinh doanh,,170000,260617,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,507605,703731,
III. Cac khoan phai thu ngan han,,667386,841466,644064,692281,
1. Phai thu ngan han cua khach hang,,515047,760722,570831,622748,
2. Tra truoc cho nguoi ban ngan han,,106904,45230,23308,23278,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,37689,34214,
6. Phai thu ngan han khac,,54872,43219,23224,25533,
7. Du phong phai thu ngan han kho doi (*),,(9437),(7705),(10987),(13492),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,757949,780704,639321,732861,
1. Hang ton kho,,762407,786123,642332,734557,
2. Du phong giam gia hang ton kho (*),,(4458),(5419),(3011),(1696),
V. Tai san ngan han khac,,23937,6972,9670,15113,
1. Chi phi tra truoc ngan han,,1009,1029,3968,4213,
2. Thue GTGT duoc khau tru,,11926,1768,4328,
