TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,993676,1030835,926870,949271,
I. Tien va cac khoan tuong duong tien,,41866,27409,14645,30465,
1. Tien,,19715,25258,12494,27293,
2. Cac khoan tuong duong tien,,22151,2151,2151,3173,
II. Dau tu tai chinh ngan han,,163,21163,21258,21182,
1. Chung khoan kinh doanh,,163,163,247,302,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,21000,21011,20880,
III. Cac khoan phai thu ngan han,,651845,743310,673488,582184,
1. Phai thu ngan han cua khach hang,,355477,328670,302378,267618,
2. Tra truoc cho nguoi ban ngan han,,211017,332230,280659,209147,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,18982,17017,17000,16604,
6. Phai thu ngan han khac,,69781,68804,75547,90498,
7. Du phong phai thu ngan han kho doi (*),,(3467),(3467),(2152),(1739),
8. Tai san thieu cho xu ly,,56,56,56,56,
IV. Hang ton kho,,244762,201856,188545,289019,
1. Hang ton kho,,244762,203937,188935,289019,
2. Du phong giam gia hang ton kho (*),,,(2080),(390),,
V. Tai san ngan han khac,,55039,37096,28934,26420,
1. Chi phi tra truoc ngan han,,6775,15094,15116,5351,
2. Thue GTGT duoc khau tru,,47250,19154,12331,19974,
3. Thue va cac khoan khac phai thu cua nha nuoc,,292,1293,755,442,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,723,1555,732,653,
B. TAI SAN DAI HAN,,325859,308620,318246,326590,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,192235,185464,202000,200899,
1. Tai san co dinh huu hinh,,191682,184941,200453,199464,
- Nguyen gia,,261984,262535,282583,283003,
- Gia tri hao mon luy ke (*),,(70303),(77594),(82130),(83539),
2. Tai san co dinh thue tai chinh,,553,523,1548,1435,
- Nguyen gia,,724,724,1778,1778,
- Gia tri hao mon luy ke (*),,(170),(200),(230),(344),
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
