TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1218447,1901481,3135386,3084462,
I. Tien va cac khoan tuong duong tien,,82089,106621,220108,96809,
1. Tien,,81889,88321,96121,55800,
2. Cac khoan tuong duong tien,,200,18300,123987,41009,
II. Dau tu tai chinh ngan han,,253271,793657,837265,580095,
1. Chung khoan kinh doanh,,253271,793657,264000,264000,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,573265,316095,
III. Cac khoan phai thu ngan han,,512241,546244,1523713,1990009,
1. Phai thu ngan han cua khach hang,,293003,251509,421321,601507,
2. Tra truoc cho nguoi ban ngan han,,139612,
