TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,713042,637711,719994,842930,
I. Tien va cac khoan tuong duong tien,,26583,28704,135164,92319,
1. Tien,,26583,28704,55128,72319,
2. Cac khoan tuong duong tien,,,,80036,20000,
II. Dau tu tai chinh ngan han,,30000,,,115000,
1. Chung khoan kinh doanh,,30000,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,115000,
III. Cac khoan phai thu ngan han,,334628,291800,305863,311307,
1. Phai thu ngan han cua khach hang,,324726,285227,289981,300890,
2. Tra truoc cho nguoi ban ngan han,,5875,5494,1578,1337,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,8529,5241,19179,14608,
7. Du phong phai thu ngan han kho doi (*),,(4502),(4161),(4876),(5528),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,312072,311931,277344,320319,
1. Hang ton kho,,312072,312508,277921,320319,
2. Du phong giam gia hang ton kho (*),,,(577),(577),,
V. Tai san ngan han khac,,9759,5276,1623,3984,
1. Chi phi tra truoc ngan han,,2752,1634,1622,3984,
2. Thue GTGT duoc khau tru,,881,318,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,249,1,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,6127,3074,,,
B. TAI SAN DAI HAN,,306731,294589,268029,241064,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,283511,269617,242623,219086,
1. Tai san co dinh huu hinh,,227193,216030,191167,169441,
- Nguyen gia,,394715,417068,423377,429045,
- Gia tri hao mon luy ke (*),,(167522),(201038),(232210),(259604),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,51888,51902,51456,49644,
- Nguyen gia,,54893,56338,57681,57651,
- Gia tri hao mon luy ke (*),,(3004),(4436),(6225),(8007),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,1869,1380,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,4430,1686,1869,1380,
V. Dau tu tai chinh dai han,,11531,9704,13169,10573,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,20000,20000,
4. Du phong dau tu tai chinh dai han (*),,(9095),(10296),(6831),(9427),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,20626,20000,,,
VI. Tai san dai han khac,,11689,15269,10368,10026,
1. Chi phi tra truoc dai han,,6784,10729,8282,4641,
2. Tai san thue thu nhap hoan lai,,4905,4540,2085,5385,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1019773,932300,988023,1083994,
NGUON VON,,,,,,
A. NO PHAI TRA,,389208,210454,194705,200361,
I. No ngan han,,386985,209384,193728,199686,
1. Phai tra nguoi ban ngan han,,190361,142024,137616,120021,
2. Nguoi mua tra tien truoc ngan han,,20690,4833,7263,5294,
3. Thue va cac khoan phai nop Nha nuoc,,10589,15688,16909,17906,
4. Phai tra nguoi lao dong,,21330,21061,13883,24061,
5. Chi phi phai tra ngan han,,25869,21509,15227,30009,
