TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,7515223,7199876,8082321,5815897,
I. Tien va cac khoan tuong duong tien,,4032386,5078300,5690048,4098557,
1. Tien,,435860,151773,251548,212638,
2. Cac khoan tuong duong tien,,3596527,4926527,5438500,3885919,
II. Dau tu tai chinh ngan han,,1734861,76245,80950,55000,
1. Chung khoan kinh doanh,,1734861,76245,,,
2. Du phong giam gia chung khoan kinh doanh (*),,-,,,,
3. Dau tu nam giu den ngay dao han,,,,80950,55000,
III. Cac khoan phai thu ngan han,,246098,404398,821016,512570,
1. Phai thu ngan han cua khach hang,,105080,174790,110594,113771,
2. Tra truoc cho nguoi ban ngan han,,74279,88842,599721,357298,
3. Phai thu noi bo ngan han,,-,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,-,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,186036,262358,331620,263116,
7. Du phong phai thu ngan han kho doi (*),,(119297),(121592),(220918),(221663),
8. Tai san thieu cho xu ly,,,,,48,
IV. Hang ton kho,,1340683,1491901,1365360,923155,
1. Hang ton kho,,1353398,1492183,1369360,924827,
2. Du phong giam gia hang ton kho (*),,(12714),(281),(4000),(1672),
V. Tai san ngan han khac,,161195,149032,124946,226614,
1. Chi phi tra truoc ngan han,,16754,16541,16806,42510,
2. Thue GTGT duoc khau tru,,110241,126299,104008,176621,
3. Thue va cac khoan khac phai thu cua nha nuoc,,30492,4516,4132,7484,
4. Giao dich mua ban lai trai phieu chinh phu,,-,,,,
5. Tai san ngan han khac,,3708,1676,,,
B. TAI SAN DAI HAN,,3290088,2911135,2836859,3752732,
I. Cac khoan phai thu dai han,,-,,22283,2068,
1. Phai thu dai han cua khach hang,,-,,,2068,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,-,,,,
4. Phai thu noi bo dai han,,-,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,-,,22283,,
7. Du phong phai thu dai han kho doi (*),,-,,,,
II. Tai san co dinh,,2368444,2295454,1853676,1910477,
1. Tai san co dinh huu hinh,,1257291,1133009,950883,1065244,
- Nguyen gia,,7212931,7325620,7325699,7621746,
- Gia tri hao mon luy ke (*),,(5955640),(6192610),(6374816),(6556501),
2. Tai san co dinh thue tai chinh,,-,,,,
- Nguyen gia,,-,,,,
- Gia tri hao mon luy ke (*),,-,,,,
3. Tai san co dinh vo hinh,,927349,915608,902793,845233,
- Nguyen gia,,1143917,1148328,1151102,1102729,
- Gia tri hao mon luy ke (*),,(216568),(232720),(248309),(257496),
III. Bat dong san dau tu,,284965,274190,213919,281625,
- Nguyen gia,,314531,314531,257504,346037,
- Gia tri hao mon luy ke (*),,(29566),(40341),(43585),(64412),
IV. Tai san do dang dai han,,,,612341,1350128,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,183804,246837,612341,1350128,
V. Dau tu tai chinh dai han,,540522,231691,47372,45354,
1. Dau tu vao cong ty con,,-,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,463076,209851,27206,27826,
3. Dau tu gop von vao don vi khac,,,,20502,20502,
4. Du phong dau tu tai chinh dai han (*),,(429),(336),(336),(2974),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,77875,22176,,,
VI. Tai san dai han khac,,96158,109799,87268,163081,
1. Chi phi tra truoc dai han,,66360,43567,23061,29294,
2. Tai san thue thu nhap hoan lai,,28765,65280,64206,83067,
3. Thiet bi vat tu phu tung thay the dai han,,,,,50720,
4. Tai san dai han khac,,1032,953,,,
VII. Loi the thuong mai,,-,,,,
TONG CONG TAI SAN,,10805311,10111011,10919180,9568630,
NGUON VON,,,,,,
A. NO PHAI TRA,,1249173,1106071,2371674,1339645,
I. No ngan han,,1223123,1043911,1835490,1159284,
1. Phai tra nguoi ban ngan han,,605551,364668,361321,475420,
2. Nguoi mua tra tien truoc ngan han,,111418,39361,63651,42392,
3. Thue va cac khoan phai nop Nha nuoc,,13565,52085,83091,22663,
4. Phai tra nguoi lao dong,,89584,79926,118304,89519,
5. Chi phi phai tra ngan han,,160665,281235,57056,93067,
6. Phai tra noi bo ngan han,,-,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,-,,,,
8. Doanh thu chua thuc hien ngan han,,-,,700,,
9. Phai tra ngan han khac,,63691,67855,1009922,77540,
10. Vay va no thue tai chinh ngan han,,65406,93521,2133,,
11. Du phong phai tra ngan han,,327,350,40184,312335,
12. Quy khen thuong phuc loi,,112916,64909,99126,46347,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,-,,,,
II. No dai han,,26049,62160,536184,180361,
1. Phai tra nguoi ban dai han,,-,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,-,,,,
6. Doanh thu chua thuc hien dai han,,3525,2876,2182,1511,
7. Phai tra dai han khac,,5952,6178,6827,961,
8. Vay va no thue tai chinh dai han,,3053,1126,230139,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,-,,146186,132540,
12. Du phong phai tra dai han,,-,,96552,,
13. Quy phat trien khoa hoc va cong nghe,,13519,51981,54298,45349,
14. Du phong tro cap mat viec lam,,-,,,,
B. VON CHU SO HUU,,9346016,8788139,8547505,8228984,
I. Von chu so huu,,9346016,8788139,8547505,8228984,
1. Von gop cua chu so huu,,3800000,3800000,3800000,3914000,
- Co phieu pho thong co quyen bieu quyet,,,,3800000,3914000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,21180,21180,21180,21180,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,978,2397,,,
5. Co phieu quy (*),,(2297),(2297),(2297),(2297),
6. Chenh lech danh gia lai tai san,,-,,,,
7. Chenh lech ty gia hoi doai,,(264),(1),,,
8. Quy dau tu phat trien,,2526156,2527752,3498666,3497040,
9. Quy ho tro sap xep doanh nghiep,,-,,,,
10. Quy khac thuoc von chu so huu,,1015,1015,,,
11. Loi nhuan sau thue chua phan phoi,,2036381,1469880,1038014,625290,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,734859,447474,
- LNST chua phan phoi ky nay,,,,303156,177816,
12. Nguon von dau tu XDCB,,-,,,,
13. Loi ich co dong khong kiem soat,,,,191941,173771,
14. Quy du phong tai chinh,,962867,968213,,,
II. Nguon kinh phi va quy khac,,-,,,,
1. Nguon kinh phi,,-,,,,
2. Nguon kinh phi da hinh thanh TSCD,,-,,,,
C. LOI ICH CO DONG THIEU SO,,210123,216801,,,
TONG CONG NGUON VON,,10805311,10111011,10919180,9568630,
