TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1226661,1290324,1281202,1241920,
I. Tien va cac khoan tuong duong tien,,232637,209708,323711,331627,
1. Tien,,19115,40978,23782,16877,
2. Cac khoan tuong duong tien,,213522,168730,299929,314750,
II. Dau tu tai chinh ngan han,,367316,474559,328935,331640,
1. Chung khoan kinh doanh,,18172,15273,15273,15273,
2. Du phong giam gia chung khoan kinh doanh (*),,(1000),(858),(982),(441),
3. Dau tu nam giu den ngay dao han,,350144,460144,314644,316809,
III. Cac khoan phai thu ngan han,,291786,275662,333423,279322,
1. Phai thu ngan han cua khach hang,,233208,221474,299614,254896,
2. Tra truoc cho nguoi ban ngan han,,36316,33902,31694,22414,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,11540,6440,95,,
6. Phai thu ngan han khac,,14352,17285,5258,5249,
7. Du phong phai thu ngan han kho doi (*),,(3630),(3438),(3238),(3238),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,323682,319954,285291,286901,
1. Hang ton kho,,399181,392430,356040,351510,
2. Du phong giam gia hang ton kho (*),,(75499),(72476),(70749),(64609),
V. Tai san ngan han khac,,11239,10441,9842,12429,
1. Chi phi tra truoc ngan han,,5714,4221,2329,2310,
2. Thue GTGT duoc khau tru,,30,326,983,1004,
3. Thue va cac khoan khac phai thu cua nha nuoc,,5336,5877,6084,9116,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,158,17,446,,
B. TAI SAN DAI HAN,,312348,
