TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1298051,1111182,1303540,1247267,
I. Tien va cac khoan tuong duong tien,,54437,84698,240227,50834,
1. Tien,,32437,35698,37227,27834,
2. Cac khoan tuong duong tien,,22000,49000,203000,23000,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,333522,295806,278349,419093,
1. Phai thu ngan han cua khach hang,,257035,267968,263144,386143,
2. Tra truoc cho nguoi ban ngan han,,78179,27920,13889,30173,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1386,2977,4175,3632,
7. Du phong phai thu ngan han kho doi (*),,(3077),(3059),(2944),(2859),
8. Tai san thieu cho xu ly,,,,85,2005,
IV. Hang ton kho,,901364,715556,784836,770987,
1. Hang ton kho,,901364,715556,784836,770987,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,8728,15122,128,6352,
1. Chi phi tra truoc ngan han,,8002,15053,20,6352,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,108,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,726,69,,,
B. TAI SAN DAI HAN,,1889686,2026221,1839352,1568156,
I. Cac khoan phai thu dai han,,,,46,127,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,46,127,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1845903,1992667,1759710,1488117,
1. Tai san co dinh huu hinh,,1716451,1921384,1758866,1482572,
- Nguyen gia,,2353765,2644584,2692307,2648180,
- Gia tri hao mon luy ke (*),,(637314),(723200),(933441),(1165609),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,1076,948,844,5546,
- Nguyen gia,,4012,4012,4012,8919,
- Gia tri hao mon luy ke (*),,(2935),(3063),(3168),(3373),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,59222,16322,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,128376,70335,59222,16322,
V. Dau tu tai chinh dai han,,7277,4910,4620,4334,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,6070,6070,
4. Du phong dau tu tai chinh dai han (*),,(903),(1160),(1450),(1736),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,8181,6070,,,
VI. Tai san dai han khac,,36506,28644,15754,59255,
1. Chi phi tra truoc dai han,,36506,28598,15754,59255,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,46,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,3187737,3137403,3142891,2815423,
NGUON VON,,,,,,
A. NO PHAI TRA,,1807989,1601618,1469958,1233323,
I. No ngan han,,933846,793147,876966,841723,
1. Phai tra nguoi ban ngan han,,147438,165054,122611,140935,
2. Nguoi mua tra tien truoc ngan han,,1983,4670,2647,22368,
3. Thue va cac khoan phai nop Nha nuoc,,33271,38803,40572,61338,
4. Phai tra nguoi lao dong,,60331,72847,76357,45666,
5. Chi phi phai tra ngan han,,19828,34620,31639,35590,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,25,28,
9. Phai tra ngan han khac,,120716,126828,146324,6249,
10. Vay va no thue tai chinh ngan han,,544334,336583,445508,513460,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,5945,13742,11283,16089,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,874143,808471,592992,391599,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,31,25,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,874111,808446,592992,391599,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,1379748,1535785,1672934,1582100,
I. Von chu so huu,,1379741,1535785,1672934,1582100,
1. Von gop cua chu so huu,,830738,830738,913800,1187926,
- Co phieu pho thong co quyen bieu quyet,,,,913800,1187926,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,3281,3281,3281,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,118781,137553,233176,148697,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,25489,44260,61862,20751,
11. Loi nhuan sau thue chua phan phoi,,376233,494734,460815,224726,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,45783,7718,
- LNST chua phan phoi ky nay,,,,415032,217008,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,25218,25218,,,
II. Nguon kinh phi va quy khac,,7,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,7,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,3187737,3137403,3142891,2815423,
