TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,56332,77439,42337,197001,
I. Tien va cac khoan tuong duong tien,,3392,10465,3381,8486,
1. Tien,,3392,10465,3381,8486,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,119,119,119,7028,
1. Chung khoan kinh doanh,,780,780,780,7690,
2. Du phong giam gia chung khoan kinh doanh (*),,(662),(662),(662),(662),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,40849,51545,38777,177281,
1. Phai thu ngan han cua khach hang,,3508,71,23263,
