TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,155379,166532,190312,215829,
I. Tien va cac khoan tuong duong tien,,131638,152969,135793,50062,
1. Tien,,6138,8608,6193,24362,
2. Cac khoan tuong duong tien,,125500,144361,129600,25700,
II. Dau tu tai chinh ngan han,,20545,9045,50045,154299,
1. Chung khoan kinh doanh,,43450,31950,31950,31950,
2. Du phong giam gia chung khoan kinh doanh (*),,(22905),(22905),(22905),(24951),
3. Dau tu nam giu den ngay dao han,,,,41000,147300,
III. Cac khoan phai thu ngan han,,1274,2991,2808,6528,
1. Phai thu ngan han cua khach hang,,402,846,302,188,
2. Tra truoc cho nguoi ban ngan han,,108,98,335,390,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1051,2381,2505,5950,
7. Du phong phai thu ngan han kho doi (*),,(286),(334),(334),,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1099,720,979,4386,
1. Hang ton kho,,1099,720,979,4386,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,822,807,686,555,
1. Chi phi tra truoc ngan han,,145,353,686,555,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,382,197,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,295,258,,,
B. TAI SAN DAI HAN,,13729,10317,7422,5969,
I. Cac khoan phai thu dai han,,,,150,150,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,150,150,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,11086,8094,5246,3759,
1. Tai san co dinh huu hinh,,5966,4122,2919,2829,
- Nguyen gia,,81114,81164,81805,83248,
- Gia tri hao mon luy ke (*),,(75148),(77041),(78886),(80420),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,5120,3723,2327,931,
- Nguyen gia,,20316,20316,20316,20316,
- Gia tri hao mon luy ke (*),,(15196),(16593),(17989),(19385),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,248,,,
V. Dau tu tai chinh dai han,,2462,2000,2000,2000,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,462,462,
4. Du phong dau tu tai chinh dai han (*),,,(462),(462),(462),
5. Dau tu nam giu den ngay dao han,,,,2000,2000,
6. Dau tu dai han khac,,2462,2462,,,
VI. Tai san dai han khac,,180,223,26,59,
1. Chi phi tra truoc dai han,,180,73,26,59,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,150,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,169107,176849,197733,221797,
NGUON VON,,,,,,
A. NO PHAI TRA,,11491,10654,8912,6872,
I. No ngan han,,11405,10568,8811,6771,
1. Phai tra nguoi ban ngan han,,3659,3098,2827,2535,
2. Nguoi mua tra tien truoc ngan han,,74,36,1,27,
3. Thue va cac khoan phai nop Nha nuoc,,2738,3240,2620,2075,
4. Phai tra nguoi lao dong,,3261,2678,1405,831,
5. Chi phi phai tra ngan han,,,,,,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1392,1502,874,1006,
10. Vay va no thue tai chinh ngan han,,,,,,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,280,14,1084,296,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,86,86,101,101,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,86,86,101,101,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,157617,166195,188822,214926,
I. Von chu so huu,,157617,166195,188822,214926,
1. Von gop cua chu so huu,,84500,84500,84500,120830,
- Co phieu pho thong co quyen bieu quyet,,,,84500,120830,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,151,151,151,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,7376,10735,22599,8450,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,57140,62359,81572,85645,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,11080,9253,
- LNST chua phan phoi ky nay,,,,70492,76393,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,8450,8450,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,169107,176849,197733,221797,
