TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,146120,171713,41425,55218,
I. Tien va cac khoan tuong duong tien,,3848,3805,4570,3141,
1. Tien,,3848,3805,4570,3141,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,12666,16873,33828,49147,
1. Phai thu ngan han cua khach hang,,2069,2466,2565,9460,
2. Tra truoc cho nguoi ban ngan han,,6941,7286,23665,27632,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3656,7121,7581,12056,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,17,,
IV. Hang ton kho,,123399,140672,2759,580,
1. Hang ton kho,,123399,140672,2759,580,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6207,10363,268,2351,
1. Chi phi tra truoc ngan han,,,,25,3,
2. Thue GTGT duoc khau tru,,,504,243,2347,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,6207,9859,,,
B. TAI SAN DAI HAN,,76412,55527,190752,234172,
I. Cac khoan phai thu dai han,,,,32558,13276,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,4288,,
