TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,72150,64333,69114,77105,
I. Tien va cac khoan tuong duong tien,,6724,7848,7914,10023,
1. Tien,,6724,7848,7914,10023,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,1121,1112,1136,1136,
1. Chung khoan kinh doanh,,-,-,-,-,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,1121,1112,1136,1136,
III. Cac khoan phai thu ngan han,,42316,30146,33357,35007,
1. Phai thu ngan han cua khach hang,,34834,28029,29403,33387,
2. Tra truoc cho nguoi ban ngan han,
