TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,400845,484798,671333,607320,
I. Tien va cac khoan tuong duong tien,,78380,10074,20794,27133,
1. Tien,,13380,10074,20794,27133,
2. Cac khoan tuong duong tien,,65000,,,,
II. Dau tu tai chinh ngan han,,228000,386000,538000,500000,
1. Chung khoan kinh doanh,,228000,386000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,538000,500000,
III. Cac khoan phai thu ngan han,,69275,68724,100612,67768,
1. Phai thu ngan han cua khach hang,,67662,64455,57645,59897,
2. Tra truoc cho nguoi ban ngan han,,2414,1159,36187,1735,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3912,4789,6781,6135,
7. Du phong phai thu ngan han kho doi (*),,(4712),(1678),,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,10932,11586,9467,8756,
1. Hang ton kho,,10932,11586,9467,8756,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,14257,8414,2459,3663,
1. Chi phi tra truoc ngan han,,,,1267,2842,
2. Thue GTGT duoc khau tru,,14134,8215,1192,483,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,140,,338,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,123,59,,,
B. TAI SAN DAI HAN,,523795,491072,443945,462417,
I. Cac khoan phai thu dai han,,761,625,593,562,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,761,625,593,562,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,396872,348095,254545,246967,
1. Tai san co dinh huu hinh,,352620,313561,253485,246340,
- Nguyen gia,,791496,893803,912027,984554,
- Gia tri hao mon luy ke (*),,(438876),(580242),(658542),(738214),
2. Tai san co dinh thue tai chinh,,9561,,,,
- Nguyen gia,,47803,,,,
- Gia tri hao mon luy ke (*),,(38243),,,,
3. Tai san co dinh vo hinh,,1572,2233,1059,627,
- Nguyen gia,,2498,4310,4422,4707,
- Gia tri hao mon luy ke (*),,(926),(2077),(3363),(4080),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,15209,41598,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,33118,32301,15209,41598,
V. Dau tu tai chinh dai han,,124040,142352,142352,142352,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,124040,142352,142352,142352,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,2123,,31246,30938,
1. Chi phi tra truoc dai han,,,,31246,30938,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,2123,,,,
