TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,168713,204994,154911,154279,
I. Tien va cac khoan tuong duong tien,,54409,26310,32524,42891,
1. Tien,,54409,26310,32524,22891,
2. Cac khoan tuong duong tien,,,,,20000,
II. Dau tu tai chinh ngan han,,,20000,20000,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,20000,20000,,
III. Cac khoan phai thu ngan han,,78927,124816,71762,80820,
1. Phai thu ngan han cua khach hang,,73774,104845,68337,76437,
2. Tra truoc cho nguoi ban ngan han,,734,1001,671,972,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,8784,23638,7694,7851,
7. Du phong phai thu ngan han kho doi (*),,(4485),(4789),(5059),(4559),
8. Tai san thieu cho xu ly,,121,121,119,119,
IV. Hang ton kho,,32845,31874,28403,29515,
1. Hang ton kho,,32845,31874,28403,29515,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2533,1994,2222,1052,
1. Chi phi tra truoc ngan han,,176,136,94,67,
2. Thue GTGT duoc khau tru,,2089,1847,1636,495,
3. Thue va cac khoan khac phai thu cua nha nuoc,,268,11,492,490,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,26878,25917,26356,45141,
I. Cac khoan phai thu dai han,,,,,20100,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,20100,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,26335,25396,24791,23583,
1. Tai san co dinh huu hinh,,26335,25396,24791,23583,
- Nguyen gia,,109874,109874,110208,110208,
- Gia tri hao mon luy ke (*),,(83539),(84478),(85417),(86625),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,150,150,150,150,
- Gia tri hao mon luy ke (*),,(150),(150),(150),(150),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,477,477,477,477,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,477,477,477,477,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,66,44,1087,980,
1. Chi phi tra truoc dai han,,66,44,987,980,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,100,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,195591,230911,181266,199419,
NGUON VON,,,,,,
A. NO PHAI TRA,,79864,113179,64537,81661,
I. No ngan han,,79854,93980,64286,72185,
1. Phai tra nguoi ban ngan han,,63787,75256,48285,59354,
2. Nguoi mua tra tien truoc ngan han,,19,79,23,390,
3. Thue va cac khoan phai nop Nha nuoc,,1216,656,1003,544,
4. Phai tra nguoi lao dong,,4845,6052,9670,4997,
5. Chi phi phai tra ngan han,,4664,3706,1528,2011,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,5211,7327,3778,4890,
10. Vay va no thue tai chinh ngan han,,112,112,,,
11. Du phong phai tra ngan han,,,791,,,
12. Quy khen thuong phuc loi,,,,,,
