TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,621324,700223,723761,837739,
I. Tien va cac khoan tuong duong tien,,102114,54385,70756,102917,
1. Tien,,17114,43233,26981,51964,
2. Cac khoan tuong duong tien,,85000,11152,43775,50953,
II. Dau tu tai chinh ngan han,,5340,19272,7202,4752,
1. Chung khoan kinh doanh,,8303,22234,4414,4414,
2. Du phong giam gia chung khoan kinh doanh (*),,(2963),(2963),(2963),(2963),
3. Dau tu nam giu den ngay dao han,,,,5750,3300,
III. Cac khoan phai thu ngan han,,406998,478714,476735,607098,
1. Phai thu ngan han cua khach hang,,343910,397428,404907,528649,
2. Tra truoc cho nguoi ban ngan han,,28642,47372,35727,33516,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,6000,29875,
6. Phai thu ngan han khac,,59699,36961,33957,40737,
7. Du phong phai thu ngan han kho doi (*),,(25253),(3047),(3857),(25679),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,80573,113007,165496,119697,
1. Hang ton kho,,80573,113007,167236,119943,
2. Du phong giam gia hang ton kho (*),,,,(1740),(246),
V. Tai san ngan han khac,,26299,34846,3572,3276,
1. Chi phi tra truoc ngan han,,442,666,631,574,
2. Thue GTGT duoc khau tru,,5364,10478,2941,2701,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,20492,23702,,,
B. TAI SAN DAI HAN,,343361,387980,416795,322731,
I. Cac khoan phai thu dai han,,95,,95183,57735,
1. Phai thu dai han cua khach hang,,,,94242,57633,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,95,,941,102,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,168997,221370,156319,127727,
1. Tai san co dinh huu hinh,,123906,163124,150750,123529,
- Nguyen gia,,160679,206069,218739,216692,
- Gia tri hao mon luy ke (*),,(36773),(42944),(67988),(93163),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,10161,11026,5569,4198,
- Nguyen gia,,13392,21937,22624,13449,
- Gia tri hao mon luy ke (*),,(3232),(10912),(17055),(9250),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,19099,6205,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,34931,47220,19099,6205,
V. Dau tu tai chinh dai han,,150061,138574,127325,128046,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,20982,13249,,6261,
3. Dau tu gop von vao don vi khac,,,,130688,125691,
4. Du phong dau tu tai chinh dai han (*),,(11063),(19079),(3362),(3906),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,140143,144404,,,
VI. Tai san dai han khac,,17735,21564,14555,3018,
1. Chi phi tra truoc dai han,,15898,18401,13018,1384,
2. Tai san thue thu nhap hoan lai,,1837,2227,1537,1635,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,936,,,
VII. Loi the thuong mai,,6472,6472,4315,,
TONG CONG TAI SAN,,964685,1088203,1140555,1160470,
NGUON VON,,,,,,
A. NO PHAI TRA,,317218,388713,417683,374383,
I. No ngan han,,307291,345776,295331,282569,
1. Phai tra nguoi ban ngan han,,179354,181699,141071,133172,
2. Nguoi mua tra tien truoc ngan han,,5473,31026,7415,19807,
