TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,593968,707704,804660,804991,
I. Tien va cac khoan tuong duong tien,,51350,35571,46537,79149,
1. Tien,,14754,27871,27813,48649,
2. Cac khoan tuong duong tien,,36596,7700,18724,30500,
II. Dau tu tai chinh ngan han,,105859,185630,160692,73140,
1. Chung khoan kinh doanh,,105859,185630,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,160692,73140,
III. Cac khoan phai thu ngan han,,124034,156925,215757,243743,
1. Phai thu ngan han cua khach hang,,115961,139778,160635,180181,
2. Tra truoc cho nguoi ban ngan han,,11443,21189,10131,6072,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,48373,60773,
6. Phai thu ngan han khac,,2707,3196,3642,6101,
7. Du phong phai thu ngan han kho doi (*),,(6077),(7238),(7131),(9383),
8. Tai san thieu cho xu ly,,,,108,,
IV. Hang ton kho,,297339,316367,377144,405618,
1. Hang ton kho,,297339,320977,378848,412587,
2. Du phong giam gia hang ton kho (*),,,(4610),(1704),(6968),
V. Tai san ngan han khac,,15387,13212,4530,3341,
1. Chi phi tra truoc ngan han,,2311,3109,1586,3191,
2. Thue GTGT duoc khau tru,,11687,7733,2458,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,150,150,150,150,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1238,2219,336,,
B. TAI SAN DAI HAN,,293021,278281,303360,309836,
I. Cac khoan phai thu dai han,,,304,900,1648,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,304,2176,2923,
7. Du phong phai thu dai han kho doi (*),,,,(1275),(1275),
II. Tai san co dinh,,274869,261250,256912,285737,
1. Tai san co dinh huu hinh,,250736,237484,243401,274781,
- Nguyen gia,,407449,420575,455961,505474,
- Gia tri hao mon luy ke (*),,(156713),(183091),(212560),(230693),
2. Tai san co dinh thue tai chinh,,,106,95,83,
- Nguyen gia,,,114,114,114,
- Gia tri hao mon luy ke (*),,,(8),(19),(30),
3. Tai san co dinh vo hinh,,16888,14416,13417,10872,
- Nguyen gia,,38049,38024,39451,39451,
- Gia tri hao mon luy ke (*),,(21161),(23608),(26034),(28579),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,20736,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,7245,9245,20736,,
V. Dau tu tai chinh dai han,,2638,2638,12379,2638,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,9740,,
3. Dau tu gop von vao don vi khac,,,,2638,2638,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,2638,2638,,,
VI. Tai san dai han khac,,15514,14088,12433,19814,
1. Chi phi tra truoc dai han,,14266,13522,12433,15148,
2. Tai san thue thu nhap hoan lai,,,,,4666,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1247,566,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,886989,985985,1108020,1114827,
NGUON VON,,,,,,
A. NO PHAI TRA,,108966,161538,201017,155178,
I. No ngan han,,94649,139986,159972,108391,
1. Phai tra nguoi ban ngan han,,45627,42305,33168,43810,
2. Nguoi mua tra tien truoc ngan han,,2963,5791,6318,5647,
3. Thue va cac khoan phai nop Nha nuoc,,29456,24104,33134,26760,
4. Phai tra nguoi lao dong,,8242,9335,11588,11454,
5. Chi phi phai tra ngan han,,2149,290,158,2546,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,464,,
9. Phai tra ngan han khac,,4899,5882,5488,1039,
10. Vay va no thue tai chinh ngan han,,1311,52278,69655,17135,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,,,,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,14317,21552,41045,46786,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,822,3619,3742,3850,
8. Vay va no thue tai chinh dai han,,,10197,34620,41406,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,2485,,,,
13. Quy phat trien khoa hoc va cong nghe,,11010,7737,2683,1531,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,777272,824447,907003,959650,
I. Von chu so huu,,777272,824447,907003,959650,
1. Von gop cua chu so huu,,279865,279865,279865,419798,
- Co phieu pho thong co quyen bieu quyet,,,,279865,419798,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,191000,191000,191000,203073,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(10491),(10491),(10491),,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,33,(72),(109),(172),
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,11034,8228,9950,12055,
11. Loi nhuan sau thue chua phan phoi,,305832,355918,436788,324896,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,323245,235281,
- LNST chua phan phoi ky nay,,,,113543,89615,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,750,,,,
TONG CONG NGUON VON,,886989,985985,1108020,1114827,
