TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,339322,645102,537376,617574,
I. Tien va cac khoan tuong duong tien,,6430,30662,45368,28874,
1. Tien,,6430,26662,41368,22374,
2. Cac khoan tuong duong tien,,,4000,4000,6500,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,260393,371347,232954,306519,
1. Phai thu ngan han cua khach hang,,155782,315809,201012,254105,
2. Tra truoc cho nguoi ban ngan han,,783,8420,5547,24167,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,95771,35038,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,8468,12491,24509,26197,
7. Du phong phai thu ngan han kho doi (*),,(411),(411),(634),(470),
8. Tai san thieu cho xu ly,,,,2520,2520,
IV. Hang ton kho,,68558,220080,243012,278847,
1. Hang ton kho,,68558,220080,243012,278847,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,3940,23013,16042,3335,
1. Chi phi tra truoc ngan han,,,590,2016,2041,
2. Thue GTGT duoc khau tru,,3036,17647,13650,938,
3. Thue va cac khoan khac phai thu cua nha nuoc,,407,2869,376,356,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,
