TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,2039715,2005791,2347073,2273067,
I. Tien va cac khoan tuong duong tien,,187653,191559,252211,152801,
1. Tien,,124350,162402,222054,122644,
2. Cac khoan tuong duong tien,,63303,29157,30157,30157,
II. Dau tu tai chinh ngan han,,647,13147,13147,13261,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,647,13147,13147,13261,
III. Cac khoan phai thu ngan han,,1047508,950531,1509578,1368596,
1. Phai thu ngan han cua khach hang,,825526,785410,1264864,1108723,
2. Tra truoc cho nguoi ban ngan han,,109847,76185,69494,95429,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,115897,92708,178970,168159,
7. Du phong phai thu ngan han kho doi (*),,(3763),(3772),(3750),(3716),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,601833,634320,320424,424384,
1. Hang ton kho,,601833,634320,320424,424384,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,202074,216235,251712,314024,
1. Chi phi tra truoc ngan han,,1306,1269,1003,2127,
2. Thue GTGT duoc khau tru,,55668,60524,21956,28323,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2,83,61,141,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,145099,154358,228692,283433,
B. TAI SAN DAI HAN,,1092414,1145750,1190986,1119162,
I. Cac khoan phai thu dai han,,3633,3069,3335,5562,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,3633,3069,3335,5562,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,687632,753290,751783,770902,
1. Tai san co dinh huu hinh,,270931,311670,314256,340795,
- Nguyen gia,,456012,506012,518762,561563,
- Gia tri hao mon luy ke (*),,(185081),(194342),(204506),(220768),
2. Tai san co dinh thue tai chinh,,171200,196291,192101,185181,
- Nguyen gia,,222133,251270,251270,242724,
- Gia tri hao mon luy ke (*),,(50933),(54979),(59168),(57543),
3. Tai san co dinh vo hinh,,245501,245330,245426,244926,
- Nguyen gia,,251991,252299,252877,252877,
- Gia tri hao mon luy ke (*),,(6490),(6969),(7451),(7951),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,70254,52663,56570,61506,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,70254,52663,56570,61506,
V. Dau tu tai chinh dai han,,300401,306366,344077,241612,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,209046,215011,344067,241612,
3. Dau tu gop von vao don vi khac,,91354,91354,10,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,30495,30361,35220,39580,
1. Chi phi tra truoc dai han,,28925,28791,33650,38011,
2. Tai san thue thu nhap hoan lai,,1570,1570,1570,1570,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,3132129,3151541,3538058,3392229,
NGUON VON,,,,,,
A. NO PHAI TRA,,2148569,2153775,2381433,2107357,
I. No ngan han,,1341179,1330110,1494010,1340678,
1. Phai tra nguoi ban ngan han,,379181,431685,427991,415662,
2. Nguoi mua tra tien truoc ngan han,,249701,192837,221445,114377,
3. Thue va cac khoan phai nop Nha nuoc,,13186,19252,32738,14357,
4. Phai tra nguoi lao dong,,8206,5325,4546,8712,
5. Chi phi phai tra ngan han,,135830,90068,180426,207555,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,40,51,40,3563,
9. Phai tra ngan han khac,,69292,28177,126751,28037,
10. Vay va no thue tai chinh ngan han,,482099,560497,497529,545907,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,3643,2218,2544,2507,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,807390,823665,887423,766679,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,467,467,362,362,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,302044,318318,421581,405302,
9. Trai phieu chuyen doi,,500000,500000,460600,356410,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,4880,4880,4880,4605,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,751895,765790,886155,1024730,
I. Von chu so huu,,751895,765790,886155,1024730,
1. Von gop cua chu so huu,,457229,457229,477229,494994,
- Co phieu pho thong co quyen bieu quyet,,457229,457229,477229,494994,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,34539,34539,54047,72415,
3. Quyen chon chuyen doi trai phieu,,,,,67948,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,113199,113199,113199,113199,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,146928,160823,241679,276174,
- LNST chua phan phoi luy ke den cuoi ky truoc,,111237,91357,96777,257546,
- LNST chua phan phoi ky nay,,35691,69466,144902,18628,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,231665,231976,270471,260141,
TONG CONG NGUON VON,,3132129,3151541,3538058,3392229,
