TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,899186,633892,449676,517005,
I. Tien va cac khoan tuong duong tien,,497384,37054,8799,9051,
1. Tien,,2384,13054,8457,4684,
2. Cac khoan tuong duong tien,,495000,24000,342,4367,
II. Dau tu tai chinh ngan han,,94001,414705,,223955,
1. Chung khoan kinh doanh,,102619,423467,,224223,
2. Du phong giam gia chung khoan kinh doanh (*),,(8618),(8761),,(268),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,150273,26305,435789,243293,
1. Phai thu ngan han cua khach hang,,23637,15258,3820,36896,
2. Tra truoc cho nguoi ban ngan han,,539,8525,326889,105037,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,2104,
5. Phai thu ve cho vay ngan han,,,,12564,9569,
6. Phai thu ngan han khac,,142021,17621,101096,97914,
7. Du phong phai thu ngan han kho doi (*),,(15925),(15099),(8580),(8227),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,150415,150455,,32821,
1. Hang ton kho,,150415,150455,,33039,
