TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,884254,1256013,1078259,984255,
I. Tien va cac khoan tuong duong tien,,154943,193460,325929,276797,
1. Tien,,39543,14460,43015,16797,
2. Cac khoan tuong duong tien,,115400,179000,282914,260000,
II. Dau tu tai chinh ngan han,,10000,10000,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,10000,10000,,,
III. Cac khoan phai thu ngan han,,187104,401568,250967,177453,
1. Phai thu ngan han cua khach hang,,161354,369534,219894,171174,
2. Tra truoc cho nguoi ban ngan han,,25624,30735,31235,6761,
3. Phai thu noi bo ngan han,,,
