TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,,,740727,839468,
I. Tien va cac khoan tuong duong tien,,,,123754,112654,
1. Tien,,,,123754,111895,
2. Cac khoan tuong duong tien,,,,,759,
II. Dau tu tai chinh ngan han,,,,536,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,536,,
III. Cac khoan phai thu ngan han,,,,396226,585933,
1. Phai thu ngan han cua khach hang,,,,248814,288499,
2. Tra truoc cho nguoi ban ngan han,,,,122179,157711,
3. Phai thu noi bo ngan han,,,,25234,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,,,,139723,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,,213138,137176,
1. Hang ton kho,,,,213138,137176,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,,,7072,3705,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,,,3072,3075,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,4000,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,630,
B. TAI SAN DAI HAN,,,,941619,813970,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,,,775881,756166,
1. Tai san co dinh huu hinh,,,,775881,756166,
- Nguyen gia,,,,1003799,1003767,
- Gia tri hao mon luy ke (*),,,,(227919),(247601),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,21736,21736,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,21736,21736,
V. Dau tu tai chinh dai han,,,,115000,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,115000,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,,,29003,36069,
1. Chi phi tra truoc dai han,,,,29003,19906,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,16163,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,,,1682346,1653438,
NGUON VON,,,,,,
A. NO PHAI TRA,,,,1109862,1100384,
I. No ngan han,,,,562797,609076,
1. Phai tra nguoi ban ngan han,,,,168199,177554,
2. Nguoi mua tra tien truoc ngan han,,,,2544,4045,
3. Thue va cac khoan phai nop Nha nuoc,,,,23459,15700,
4. Phai tra nguoi lao dong,,,,4380,4168,
5. Chi phi phai tra ngan han,,,,18974,45295,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,,,217,30999,
10. Vay va no thue tai chinh ngan han,,,,345024,329391,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,,,1923,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,547065,491308,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,153640,118021,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,393425,373287,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,,,572484,553054,
I. Von chu so huu,,,,572484,553054,
1. Von gop cua chu so huu,,,,500000,500000,
- Co phieu pho thong co quyen bieu quyet,,,,500000,500000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,3769,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,,,72484,49286,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,29755,36789,
- LNST chua phan phoi ky nay,,,,42729,12497,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,,,1682346,1653438,
