TAI SAN,,,,,,
A. TAI SAN NGAN HAN (100=110+130),,1331166,1499798,1297682,1280075,
I. Tai san tai chinh ngan han,,1271930,1391026,1294905,1271306,
1. Tien va cac khoan tuong duong tien,,183325,200779,164302,141277,
1.1. Tien,,33325,50779,54302,141277,
1.2. Cac khoan tuong duong tien,,150000,150000,110000,,
Cac khoan dau tu tai chinh ngan han,,,,,,
+Dau tu ngan han,,,,,,
+Dau tu ngan han cua nguoi uy thac dau tu,,,,,,
Du phong giam gia dau tu ngan han,,,,,,
2. Cac tai san tai chinh ghi nhan thong qua lai lo (FVTPL),,16496,16544,16670,16474,
3. Cac khoan dau tu nam giu den ngay dao han (HTM),,,,,,
4. Cac khoan cho vay,,1059446,,1099157,1112542,
5. Cac tai san tai chinh san san de ban (AFS),,,1154336,,,
6. Du phong suy giam gia tri tai san tai chinh va tai san the chap,,(41),(44),(9854),(9958),
7. Cac khoan phai thu ngan han,,9877,12924,12734,8637,
7.1. Phai thu ban cac tai san tai chinh,,,,,,
7.2. Phai thu va du thu co tuc tien lai cac tai san tai chinh,,9877,12924,12734,8637,
7.2.1. Phai thu co tuc tien lai den ngay nhan,,50,83,75,117,
Trong do: Phai thu kho doi ve co tuc tien lai den ngay nhan nhung chua nhan duoc,,
