TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,28307000,33289239,33814789,33202945,
I. Tien va cac khoan tuong duong tien,,18292998,24080006,17748332,13537561,
1. Tien,,2871148,4855354,2147732,1229434,
2. Cac khoan tuong duong tien,,15421850,19224652,15600600,12308127,
II. Dau tu tai chinh ngan han,,818400,1683875,6099320,5898450,
1. Chung khoan kinh doanh,,818400,1696600,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,(12725),,,
3. Dau tu nam giu den ngay dao han,,,,6099320,5898450,
III. Cac khoan phai thu ngan han,,5960271,5018749,8209846,11878376,
1. Phai thu ngan han cua khach hang,,5367524,4200201,3310932,5689790,
2. Tra truoc cho nguoi ban ngan han,,364714,631737,927895,298443,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,303516,283825,4064221,6026512,
7. Du phong phai thu ngan han kho doi (*),,(75482),(97015),(93201),(136421),
8. Tai san thieu cho xu ly,,,,,51,
IV. Hang ton kho,,2461448,1860495,1212198,1291226,
1. Hang ton kho,,2551234,1936138,1304391,1379599,
2. Du phong giam gia hang ton kho (*),,(89786),(75643),(92193),(88373),
V. Tai san ngan han khac,,773883,646115,545092,597332,
1. Chi phi tra truoc ngan han,,99395,159047,138011,84189,
2. Thue GTGT duoc khau tru,,155681,348394,333287,457156,
3. Thue va cac khoan khac phai thu cua nha nuoc,,27432,39276,73794,55988,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,491375,99398,,,
B. TAI SAN DAI HAN,,22071935,20502168,22899818,23550908,
I. Cac khoan phai thu dai han,,,,22783,134964,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,64113,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,22783,70851,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,19832972,19011093,14870119,17203070,
1. Tai san co dinh huu hinh,,16566943,14778108,14444685,16745720,
- Nguyen gia,,33379936,35015948,37681017,43276146,
- Gia tri hao mon luy ke (*),,(16812993),(20237840),(23236332),(26530426),
2. Tai san co dinh thue tai chinh,,117402,93945,67465,57229,
- Nguyen gia,,234190,228700,202905,94531,
- Gia tri hao mon luy ke (*),,(116788),(134755),(135440),(37302),
3. Tai san co dinh vo hinh,,345269,358758,357968,400121,
- Nguyen gia,,375362,399979,412154,469209,
- Gia tri hao mon luy ke (*),,(30092),(41221),(54185),(69088),
III. Bat dong san dau tu,,,,,24515,
- Nguyen gia,,,,,25306,
- Gia tri hao mon luy ke (*),,,,,(791),
IV. Tai san do dang dai han,,,,6598168,4738573,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,2803357,3780282,6598168,4738573,
V. Dau tu tai chinh dai han,,445219,87201,85742,144206,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,78619,77201,75742,132286,
3. Dau tu gop von vao don vi khac,,,,85000,86920,
4. Du phong dau tu tai chinh dai han (*),,(75000),(75000),(75000),(75000),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,441600,85000,,,
VI. Tai san dai han khac,,1262482,924362,929563,1000390,
1. Chi phi tra truoc dai han,,1231779,861636,882542,950304,
2. Tai san thue thu nhap hoan lai,,5499,37236,47021,50086,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,25204,25491,,,
VII. Loi the thuong mai,,531262,479512,393444,305190,
TONG CONG TAI SAN,,50378935,53791407,56714606,56753854,
NGUON VON,,,,,,
A. NO PHAI TRA,,15345611,16112059,13825543,15910006,
I. No ngan han,,9873098,10611728,9002417,9182557,
1. Phai tra nguoi ban ngan han,,3658257,1782284,1873431,2443692,
2. Nguoi mua tra tien truoc ngan han,,73690,123167,71777,86395,
3. Thue va cac khoan phai nop Nha nuoc,,773743,1571799,379729,831958,
