TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,187585,230639,212635,303343,
I. Tien va cac khoan tuong duong tien,,3499,2918,4247,3983,
1. Tien,,999,518,4247,3983,
2. Cac khoan tuong duong tien,,2500,2400,,,
II. Dau tu tai chinh ngan han,,91000,134100,120500,197100,
1. Chung khoan kinh doanh,,91000,134100,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,120500,197100,
III. Cac khoan phai thu ngan han,,25928,22144,21362,39975,
1. Phai thu ngan han cua khach hang,,20993,15004,12597,32894,
2. Tra truoc cho nguoi ban ngan han,,3165,5132,4549,2460,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1770,2008,4216,4621,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,64376,65748,60161,55677,
1. Hang ton kho,,66857,67986,60225,55677,
2. Du phong giam gia hang ton kho (*),,(2481),(2238),(64),,
V. Tai san ngan han khac,,2782,5730,6365,6609,
1. Chi phi tra truoc ngan han,,445,340,412,785,
2. Thue GTGT duoc khau tru,,1774,4896,5953,5823,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,563,494,,,
B. TAI SAN DAI HAN,,76181,79069,75513,61125,
I. Cac khoan phai thu dai han,,,53,350,387,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,
