TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,591988,652682,720694,765993,
I. Tien va cac khoan tuong duong tien,,144610,207847,118257,183354,
1. Tien,,84360,168597,76257,133354,
2. Cac khoan tuong duong tien,,60250,39250,42000,50000,
II. Dau tu tai chinh ngan han,,2829,2829,31389,13389,
1. Chung khoan kinh doanh,,2420,2420,3005,3005,
2. Du phong giam gia chung khoan kinh doanh (*),,(10),(10),(37),(37),
3. Dau tu nam giu den ngay dao han,,420,420,28420,10420,
III. Cac khoan phai thu ngan han,,196839,150002,112566,256947,
1. Phai thu ngan han cua khach hang,,147735,88803,87145,232563,
2. Tra truoc cho nguoi ban ngan han,,17933,19166,12088,13417,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,35578,46450,15641,13266,
7. Du phong phai thu ngan han kho doi (*),,(4408),(4418),(2309),(2300),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,216440,256082,426393,283259,
1. Hang ton kho,,216526,256108,426398,283264,
2. Du phong giam gia hang ton kho (*),,(86),(26),(5),(5),
V. Tai san ngan han khac,,31270,35921,32089,29044,
1. Chi phi tra truoc ngan han,,1959,2267,1553,1315,
2. Thue GTGT duoc khau tru,,29219,33619,29754,27717,
3. Thue va cac khoan khac phai thu cua nha nuoc,,91,35,782,12,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,391408,391303,369091,365768,
I. Cac khoan phai thu dai han,,432,440,844,844,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,432,440,844,844,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,152552,151779,136975,134797,
1. Tai san co dinh huu hinh,,142628,141948,127237,125145,
- Nguyen gia,,210478,212497,185540,187444,
- Gia tri hao mon luy ke (*),,(67850),(70549),(58303),(62298),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,9924,9831,9739,9651,
- Nguyen gia,,11329,11329,11288,11288,
- Gia tri hao mon luy ke (*),,(1404),(1498),(1549),(1636),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,7468,7468,7382,7154,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,7468,7468,7382,7154,
V. Dau tu tai chinh dai han,,195104,195104,193823,193823,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,195104,195104,193823,193823,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,33190,33950,30067,29150,
1. Chi phi tra truoc dai han,,32817,33577,29759,28842,
2. Tai san thue thu nhap hoan lai,,373,373,308,308,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,2661,2561,,,
TONG CONG TAI SAN,,983396,1043985,1089785,1131760,
NGUON VON,,,,,,
A. NO PHAI TRA,,519869,586754,640572,648008,
I. No ngan han,,512559,580543,635356,641788,
1. Phai tra nguoi ban ngan han,,61689,83091,115175,115982,
2. Nguoi mua tra tien truoc ngan han,,1701,4263,4163,1383,
3. Thue va cac khoan phai nop Nha nuoc,,15572,13092,4544,12352,
4. Phai tra nguoi lao dong,,36629,48302,51072,27715,
5. Chi phi phai tra ngan han,,1948,966,1160,963,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,2250,2200,,,
9. Phai tra ngan han khac,,10882,46581,11249,18081,
10. Vay va no thue tai chinh ngan han,,382324,382177,447947,465267,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,(436),(129),46,46,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,7310,6212,5216,6220,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,1229,1229,1229,3229,
8. Vay va no thue tai chinh dai han,,6081,4983,3987,2991,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,463527,457231,449213,483752,
I. Von chu so huu,,463527,457231,449213,483752,
1. Von gop cua chu so huu,,139246,139246,139246,139246,
- Co phieu pho thong co quyen bieu quyet,,139246,139246,139246,139246,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,165706,165706,165706,165706,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(42625),(42672),(30746),(30746),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,45594,45594,45594,45594,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,800,,
11. Loi nhuan sau thue chua phan phoi,,143808,134688,127862,163204,
- LNST chua phan phoi luy ke den cuoi ky truoc,,80516,49732,61688,129869,
- LNST chua phan phoi ky nay,,63293,84956,66174,33335,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,11798,14669,751,748,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
