TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,530786,604344,420589,446502,
I. Tien va cac khoan tuong duong tien,,83967,72507,119554,88718,
1. Tien,,48967,22507,19554,28718,
2. Cac khoan tuong duong tien,,35000,50000,100000,60000,
II. Dau tu tai chinh ngan han,,240000,250000,205000,250000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,240000,250000,205000,250000,
III. Cac khoan phai thu ngan han,,194777,275928,82745,98478,
1. Phai thu ngan han cua khach hang,,184972,260327,70380,90195,
2. Tra truoc cho nguoi ban ngan han,,2658,4620,2591,1782,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,7147,10981,9774,6502,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,8532,4753,11550,6388,
1. Hang ton kho,,8532,4753,11550,6388,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,3510,1156,1740,2917,
1. Chi phi tra truoc ngan han,,3510,1156,1738,2917,
2. Thue GTGT duoc khau tru,,,,2,,
3. Thue va cac khoan khac phai thu cua nha nuoc,
