TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,219018,164121,245032,355321,
I. Tien va cac khoan tuong duong tien,,122564,63966,24194,27091,
1. Tien,,42564,26966,23194,27091,
2. Cac khoan tuong duong tien,,80000,37000,1000,,
II. Dau tu tai chinh ngan han,,,,109350,229920,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,109350,229920,
III. Cac khoan phai thu ngan han,,43192,28593,46074,34727,
1. Phai thu ngan han cua khach hang,,30084,22799,24466,19350,
2. Tra truoc cho nguoi ban ngan han,,8778,5074,19688,4030,
3. Phai thu noi bo ngan han,,
