TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,119440,193004,271936,333301,
I. Tien va cac khoan tuong duong tien,,63560,77087,157637,221639,
1. Tien,,9246,25306,42042,50113,
2. Cac khoan tuong duong tien,,54314,51781,115596,171526,
II. Dau tu tai chinh ngan han,,9000,8500,,,
1. Chung khoan kinh doanh,,9000,8500,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,36399,58039,66617,81365,
1. Phai thu ngan han cua khach hang,,24805,53089,63641,79551,
2. Tra truoc cho nguoi ban ngan han,,11479,4684,1773,432,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,265,381,1509,1804,
7. Du phong phai thu ngan han kho doi (*),,(150),(115),(306),(422),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,4364,21828,28171,26903,
1. Hang ton kho,,4364,21828,28171,26903,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6118,27550,19511,3394,
1. Chi phi tra truoc ngan han,,6,193,842,1983,
2. Thue GTGT duoc khau tru,,5791,25347,18666,1258,
3. Thue va cac khoan khac phai thu cua nha nuoc,,312,1970,3,153,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,10,41,,,
B. TAI SAN DAI HAN,,298455,544227,648941,633019,
I. Cac khoan phai thu dai han,,,,3337,3353,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,3337,3353,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,287072,520980,590149,543843,
1. Tai san co dinh huu hinh,,282315,503178,586813,539911,
- Nguyen gia,,388430,648099,779973,808899,
- Gia tri hao mon luy ke (*),,(106115),(144921),(193160),(268988),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,3981,3658,3336,3932,
- Nguyen gia,,5852,5852,5852,6917,
- Gia tri hao mon luy ke (*),,(1871),(2194),(2516),(2985),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,21892,23162,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,776,14144,21892,23162,
V. Dau tu tai chinh dai han,,11208,19051,23663,29319,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,7179,15050,18662,24319,
3. Dau tu gop von vao don vi khac,,,,5001,5001,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,4029,4001,,,
VI. Tai san dai han khac,,176,4195,9900,33342,
1. Chi phi tra truoc dai han,,33,2464,9900,33342,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,143,1731,,,
VII. Loi the thuong mai,,,,,,
