TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,553081,687642,2043987,1629210,
I. Tien va cac khoan tuong duong tien,,11931,42371,22493,49260,
1. Tien,,11931,42371,22493,37260,
2. Cac khoan tuong duong tien,,,,,12000,
II. Dau tu tai chinh ngan han,,,,287500,5000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,287500,5000,
III. Cac khoan phai thu ngan han,,334844,321716,760277,958270,
1. Phai thu ngan han cua khach hang,,347150,343234,714374,865040,
2. Tra truoc cho nguoi ban ngan han,,353,1278,32057,101791,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,,79,38136,16946,
7. Du phong phai thu ngan han kho doi (*),,(12660),(22876),(26478),(27691),
8. Tai san thieu cho xu ly,,,,2187,2185,
IV. Hang ton kho,,203414,310443,917785,585897,
1. Hang ton kho,,203414,310443,917785,585897,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2892,13112,55932,30782,
1. Chi phi tra truoc ngan han,,1128,1432,3026,11959,
2. Thue GTGT duoc khau tru,,25,8869,52846,18789,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,1077,61,34,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1739,1734,,,
B. TAI SAN DAI HAN,,134551,131893,120666,534315,
I. Cac khoan phai thu dai han,,,,10,10,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,10,10,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,75200,74269,107108,127209,
1. Tai san co dinh huu hinh,,19311,21341,45767,67288,
- Nguyen gia,,37607,42120,74888,102402,
- Gia tri hao mon luy ke (*),,(18296),(20779),(29121),(35115),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,52259,52882,61341,59921,
- Nguyen gia,,59167,61654,73762,73869,
- Gia tri hao mon luy ke (*),,(6908),(8771),(12421),(13948),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,1202,3813,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,3631,46,1202,3813,
V. Dau tu tai chinh dai han,,56244,54564,1158,389320,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,38062,37611,,,
3. Dau tu gop von vao don vi khac,,,,2249,54878,
4. Du phong dau tu tai chinh dai han (*),,(7219),(8447),(1091),(962),
5. Dau tu nam giu den ngay dao han,,,,,335405,
6. Dau tu dai han khac,,25401,25401,,,
VI. Tai san dai han khac,,3106,3060,4170,7684,
1. Chi phi tra truoc dai han,,3045,2789,3713,6649,
2. Tai san thue thu nhap hoan lai,,55,264,456,1036,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,6,6,,,
VII. Loi the thuong mai,,,,7018,6279,
TONG CONG TAI SAN,,687631,819535,2164653,2163525,
NGUON VON,,,,,,
A. NO PHAI TRA,,300179,433062,870827,815602,
I. No ngan han,,293990,425602,870552,764162,
1. Phai tra nguoi ban ngan han,,42384,80410,356093,211811,
2. Nguoi mua tra tien truoc ngan han,,469,334,103,19284,
3. Thue va cac khoan phai nop Nha nuoc,,13672,9474,11989,16634,
4. Phai tra nguoi lao dong,,5976,3503,6827,4899,
5. Chi phi phai tra ngan han,,2107,607,2973,1373,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,6182,11228,
9. Phai tra ngan han khac,,621,747,2644,4282,
10. Vay va no thue tai chinh ngan han,,222498,323352,479527,488139,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,6264,7175,4214,6512,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,6189,7461,275,51441,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,6189,7461,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,51398,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,275,42,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,387453,386473,1293825,1347922,
I. Von chu so huu,,387453,386473,1293825,1347922,
1. Von gop cua chu so huu,,174000,174000,1172993,1172993,
- Co phieu pho thong co quyen bieu quyet,,,,1172993,1172993,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,84582,84582,36964,36951,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,142,142,,,
8. Quy dau tu phat trien,,68010,72559,18466,28256,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,46482,39119,65401,109721,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,24021,48408,
- LNST chua phan phoi ky nay,,,,41380,61314,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,14237,16070,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,687631,819535,2164653,2163525,
