TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,693003,478364,491921,530965,
I. Tien va cac khoan tuong duong tien,,57878,6919,10568,6290,
1. Tien,,57878,6919,10568,6290,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,326432,96435,114017,46733,
1. Chung khoan kinh doanh,,326519,96520,104,-,
2. Du phong giam gia chung khoan kinh doanh (*),,(86),(84),(86),-,
3. Dau tu nam giu den ngay dao han,,,,114000,46733,
III. Cac khoan phai thu ngan han,,195294,257196,281095,385512,
1. Phai thu ngan han cua khach hang,,44762,57374,66983,67447,
2. Tra truoc cho nguoi ban ngan han,,14932,16696,9126,9798,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,12300,48,
6. Phai thu ngan han khac,,140954,188891,202331,317833,
7. Du phong phai thu ngan han kho doi (*),,(5353),(5766),(9645),(9614),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,101510,104599,78842,81583,
1. Hang ton kho,,101697,105237,91077,89875,
2. Du phong giam gia hang ton kho (*),,(187),(639),(12235),(8292),
V. Tai san ngan han khac,,11889,13215,7399,10847,
1. Chi phi tra truoc ngan han,,783,650,375,715,
2. Thue GTGT duoc khau tru,,6398,10207,6957,10030,
3. Thue va cac khoan khac phai thu cua nha nuoc,,27,3,66,102,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,4681,2356,,,
B. TAI SAN DAI HAN,,522335,613286,625828,482356,
I. Cac khoan phai thu dai han,,,,8946,6856,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,8940,6850,
6. Phai thu dai han khac,,,,6,6,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,385013,471464,93685,81807,
1. Tai san co dinh huu hinh,,119481,102060,89599,78076,
- Nguyen gia,,241066,237520,242259,242386,
- Gia tri hao mon luy ke (*),,(121585),(135459),(152660),(164309),
2. Tai san co dinh thue tai chinh,,3809,3376,,,
- Nguyen gia,,4338,4338,,,
- Gia tri hao mon luy ke (*),,(528),(962),,,
3. Tai san co dinh vo hinh,,4797,4441,4086,3731,
- Nguyen gia,,7106,7106,7106,7106,
- Gia tri hao mon luy ke (*),,(2309),(2665),(3020),(3375),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,2235,6844,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,256927,361587,2235,6844,
V. Dau tu tai chinh dai han,,130787,137032,517832,381025,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,75976,,,,
3. Dau tu gop von vao don vi khac,,,,519812,385492,
4. Du phong dau tu tai chinh dai han (*),,(11987),(11036),(1980),(4466),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,66797,148068,,,
VI. Tai san dai han khac,,1547,1636,1809,5824,
1. Chi phi tra truoc dai han,,1096,1130,1809,5789,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,451,506,,35,
VII. Loi the thuong mai,,4988,3154,1320,,
TONG CONG TAI SAN,,1215339,1091651,1117749,1013321,
NGUON VON,,,,,,
A. NO PHAI TRA,,654085,518472,430603,344849,
I. No ngan han,,558673,333109,247899,221868,
1. Phai tra nguoi ban ngan han,,50610,32590,29364,23266,
2. Nguoi mua tra tien truoc ngan han,,2797,2028,1873,1814,
3. Thue va cac khoan phai nop Nha nuoc,,7718,12818,15909,20238,
4. Phai tra nguoi lao dong,,5634,4581,5478,5706,
5. Chi phi phai tra ngan han,,6505,8238,9355,3940,
6. Phai tra noi bo ngan han,,,,,,
