TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,,166217,259843,231065,
I. Tien va cac khoan tuong duong tien,,,32648,35817,32336,
1. Tien,,,3737,35817,32336,
2. Cac khoan tuong duong tien,,,28911,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,,31043,138547,132138,
1. Phai thu ngan han cua khach hang,,,30627,120406,127690,
2. Tra truoc cho nguoi ban ngan han,,,415,12841,444,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,,,5300,4004,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,84239,82113,66417,
1. Hang ton kho,,,84239,82113,66417,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,,18287,3367,175,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,,6139,3367,175,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,12149,,,
B. TAI SAN DAI HAN,,,3636,18849,36517,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,,3483,18679,18129,
1. Tai san co dinh huu hinh,,,3483,6861,6311,
- Nguyen gia,,,4278,8160,8241,
- Gia tri hao mon luy ke (*),,,(795),(1299),(1930),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,11818,11818,
- Nguyen gia,,,,11818,11818,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,12406,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,12406,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
