TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1108831,1050590,1089645,1313658,
I. Tien va cac khoan tuong duong tien,,14562,30646,17356,27591,
1. Tien,,12776,20646,17356,27591,
2. Cac khoan tuong duong tien,,1786,10000,,,
II. Dau tu tai chinh ngan han,,1530,2731,2611,3458,
1. Chung khoan kinh doanh,,4949,5845,4976,4976,
2. Du phong giam gia chung khoan kinh doanh (*),,(3419),(3115),(2365),(1518),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,139446,132075,216636,368159,
1. Phai thu ngan han cua khach hang,,105609,102979,121990,205116,
2. Tra truoc cho nguoi ban ngan han,,23532,18376,22694,93596,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,15972,16570,77463,75156,
7. Du phong phai thu ngan han kho doi (*),,(5668),(5850),(5510),(5708),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,940491,871736,852899,913101,
1. Hang ton kho,,940790,872035,853198,913400,
2. Du phong giam gia hang ton kho (*),,(299),(299),(299),(299),
V. Tai san ngan han khac,,12802,13402,143,1348,
1. Chi phi tra truoc ngan han,,5,,43,1348,
2. Thue GTGT duoc khau tru,,,,100,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,47,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,12751,13402,,,
B. TAI SAN DAI HAN,,163093,157119,107560,110488,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,46691,42931,45446,47258,
1. Tai san co dinh huu hinh,,38867,36069,38583,40166,
- Nguyen gia,,86393,84612,90385,96287,
- Gia tri hao mon luy ke (*),,(47526),(48543),(51802),(56120),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,6862,6862,6862,7091,
- Nguyen gia,,6912,6912,6912,7141,
- Gia tri hao mon luy ke (*),,(50),(50),(50),(50),
III. Bat dong san dau tu,,37320,36538,35757,34975,
- Nguyen gia,,41189,41189,41189,41189,
- Gia tri hao mon luy ke (*),,(3869),(4651),(5432),(6214),
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,961,,,,
V. Dau tu tai chinh dai han,,76689,75739,23972,24807,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,6674,6624,7184,8020,
3. Dau tu gop von vao don vi khac,,,,16788,16788,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,70015,69115,,,
VI. Tai san dai han khac,,2393,1911,2386,3448,
1. Chi phi tra truoc dai han,,1784,1652,2267,3329,
2. Tai san thue thu nhap hoan lai,,477,259,119,119,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,132,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1271924,1207709,1197205,1424146,
NGUON VON,,,,,,
A. NO PHAI TRA,,694014,597923,562816,756175,
I. No ngan han,,511510,433839,393800,424676,
1. Phai tra nguoi ban ngan han,,72415,40476,37636,45259,
2. Nguoi mua tra tien truoc ngan han,,107957,137141,49002,168535,
3. Thue va cac khoan phai nop Nha nuoc,,28064,11263,17272,10924,
4. Phai tra nguoi lao dong,,4856,6431,2594,1239,
5. Chi phi phai tra ngan han,,6783,7899,2433,4870,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,60,518,
9. Phai tra ngan han khac,,86066,50966,49427,45663,
10. Vay va no thue tai chinh ngan han,,205125,181098,237051,147765,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,245,(1435),(1676),(97),
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,182504,164084,169016,331499,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,399,379,280,280,
7. Phai tra dai han khac,,806,806,806,1072,
8. Vay va no thue tai chinh dai han,,181300,162900,167931,330147,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,561725,592807,634389,667972,
I. Von chu so huu,,561725,592807,634389,667972,
1. Von gop cua chu so huu,,274097,411132,411132,450789,
- Co phieu pho thong co quyen bieu quyet,,,,411132,450789,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,193601,87833,87833,87833,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(20624),(236),(242),(19937),
6. Chenh lech danh gia lai tai san,,,,,,
