TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,2219276,3727701,4152361,4956035,
I. Tien va cac khoan tuong duong tien,,390364,761740,725253,988883,
1. Tien,,223454,264292,216779,324130,
2. Cac khoan tuong duong tien,,166910,497448,508474,664753,
II. Dau tu tai chinh ngan han,,144807,20003,54534,47793,
1. Chung khoan kinh doanh,,3422,3422,3422,3422,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,141385,16581,51112,44371,
III. Cac khoan phai thu ngan han,,847754,771469,872366,1263702,
1. Phai thu ngan han cua khach hang,,256463,235226,385391,596665,
2. Tra truoc cho nguoi ban ngan han,,354837,356848,296074,276611,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,137371,,67370,231120,
6. Phai thu ngan han khac,,107899,188637,132122,167898,
7. Du phong phai thu ngan han kho doi (*),,(8842),(9269),(8619),(8619),
8. Tai san thieu cho xu ly,,26,26,26,26,
IV. Hang ton kho,,729689,2121552,2442681,2599742,
