TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,481773,1223579,2349718,2213087,
I. Tien va cac khoan tuong duong tien,,177402,506581,1171669,702509,
1. Tien,,177402,385722,76982,20501,
2. Cac khoan tuong duong tien,,,120859,1094686,682008,
II. Dau tu tai chinh ngan han,,,448550,,951688,
1. Chung khoan kinh doanh,,,448550,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,951688,
III. Cac khoan phai thu ngan han,,174304,53902,342126,173574,
1. Phai thu ngan han cua khach hang,,1882,7755,24904,15251,
2. Tra truoc cho nguoi ban ngan han,,23900,33913,307161,141206,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,148522,12234,10060,17116,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,128012,214532,817444,369916,
1. Hang ton kho,,128012,215339,818760,369916,
2. Du phong giam gia hang ton kho (*),,,(807),(1316),,
V. Tai san ngan han khac,,2054,15,18478,15400,
1. Chi phi tra truoc ngan han,,220,,240,,
2. Thue GTGT duoc khau tru,,888,,18238,3465,
3. Thue va cac khoan khac phai thu cua nha nuoc,,946,15,,11935,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,197715,217667,588161,939310,
I. Cac khoan phai thu dai han,,,,,139623,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,139623,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,3474,5310,11216,9494,
1. Tai san co dinh huu hinh,,3474,5310,11216,9494,
- Nguyen gia,,4757,5945,13267,13473,
- Gia tri hao mon luy ke (*),,(1284),(636),(2051),(3980),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,2079,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,2079,
V. Dau tu tai chinh dai han,,193427,212325,576887,788082,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,160000,180000,576887,788082,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,(1102),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,33427,33427,,,
VI. Tai san dai han khac,,815,32,58,32,
1. Chi phi tra truoc dai han,,815,32,58,32,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,679488,1441246,2937879,3152397,
NGUON VON,,,,,,
A. NO PHAI TRA,,182322,693737,176710,85272,
I. No ngan han,,182322,679507,176710,85272,
1. Phai tra nguoi ban ngan han,,116077,591833,1712,2913,
2. Nguoi mua tra tien truoc ngan han,,8260,14939,39533,25635,
3. Thue va cac khoan phai nop Nha nuoc,,63,4818,2656,2487,
4. Phai tra nguoi lao dong,,,,,,
5. Chi phi phai tra ngan han,,982,11035,614,,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,48417,48417,47246,47087,
10. Vay va no thue tai chinh ngan han,,,,75000,,
11. Du phong phai tra ngan han,,,,1527,642,
12. Quy khen thuong phuc loi,,8523,8465,8422,6508,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,14230,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,14230,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,497166,747509,2761169,3067125,
I. Von chu so huu,,497166,747509,2761169,3067125,
1. Von gop cua chu so huu,,382499,573642,2330904,2747441,
- Co phieu pho thong co quyen bieu quyet,,,,2330904,2747441,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,14270,14116,124532,139271,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,(42083),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,12780,19573,19573,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,3495,,,,
11. Loi nhuan sau thue chua phan phoi,,91719,146970,284795,201631,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,25785,171013,
- LNST chua phan phoi ky nay,,,,259010,30618,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,1365,1292,
14. Quy du phong tai chinh,,5183,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,679488,1441246,2937879,3152397,
