TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,,33715,153640,82950,
I. Tien va cac khoan tuong duong tien,,,13429,2578,6110,
1. Tien,,,13429,2578,6110,
2. Cac khoan tuong duong tien,,,,,-,
II. Dau tu tai chinh ngan han,,,,,750,
1. Chung khoan kinh doanh,,,,,-,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,-,
3. Dau tu nam giu den ngay dao han,,,,,750,
III. Cac khoan phai thu ngan han,,,7807,137080,65793,
1. Phai thu ngan han cua khach hang,,,3635,33466,26606,
2. Tra truoc cho nguoi ban ngan han,,,480,91027,28082,
3. Phai thu noi bo ngan han,,,,,-,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,-,
5. Phai thu ve cho vay ngan han,,,,1610,541,
6. Phai thu ngan han khac,,,3692,11293,10899,
7. Du phong phai thu ngan han kho doi (*),,,,(315),(335),
8. Tai san thieu cho xu ly,,,,,-,
IV. Hang ton kho,,,5360,8074,8842,
1. Hang ton kho,,,5360,8074,8842,
2. Du phong giam gia hang ton kho (*),,,,,-,
V. Tai san ngan han khac,,,7120,5908,1455,
1. Chi phi tra truoc ngan han,,,,830,487,
2. Thue GTGT duoc khau tru,,,2294,5078,967,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,-,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,-,
5. Tai san ngan han khac,,,4825,,-,
B. TAI SAN DAI HAN,,,102666,278449,377603,
I. Cac khoan phai thu dai han,,,,10159,203825,
1. Phai thu dai han cua khach hang,,,,,-,
2. Tra truoc cho nguoi ban dai han,,,,,-,
3. Von kinh doanh o cac don vi truc thuoc,,,,,-,
4. Phai thu noi bo dai han,,,,,-,
5. Phai thu ve cho vay dai han,,,,10159,3425,
6. Phai thu dai han khac,,,,,200400,
7. Du phong phai thu dai han kho doi (*),,,,,-,
II. Tai san co dinh,,,92815,96121,85801,
1. Tai san co dinh huu hinh,,,85691,89281,85801,
- Nguyen gia,,,88040,94894,94894,
- Gia tri hao mon luy ke (*),,,(2350),(5613),(9093),
2. Tai san co dinh thue tai chinh,,,,,-,
- Nguyen gia,,,,,-,
- Gia tri hao mon luy ke (*),,,,,-,
3. Tai san co dinh vo hinh,,,7124,6840,-,
- Nguyen gia,,,7398,7398,-,
- Gia tri hao mon luy ke (*),,,(274),(559),-,
III. Bat dong san dau tu,,,,,-,
- Nguyen gia,,,,,-,
- Gia tri hao mon luy ke (*),,,,,-,
IV. Tai san do dang dai han,,,824,161824,322,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,-,
2. Chi phi xay dung co ban do dang,,,824,161824,322,
V. Dau tu tai chinh dai han,,,6797,9969,87268,
1. Dau tu vao cong ty con,,,,,-,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,13539,
3. Dau tu gop von vao don vi khac,,,,9969,73728,
4. Du phong dau tu tai chinh dai han (*),,,,,-,
5. Dau tu nam giu den ngay dao han,,,,,-,
6. Dau tu dai han khac,,,6797,,-,
VI. Tai san dai han khac,,,2230,375,387,
1. Chi phi tra truoc dai han,,,1192,75,87,
2. Tai san thue thu nhap hoan lai,,,,,-,
3. Thiet bi vat tu phu tung thay the dai han,,,,,-,
4. Tai san dai han khac,,,1038,300,300,
VII. Loi the thuong mai,,,,,-,
TONG CONG TAI SAN,,,136381,432089,460553,
NGUON VON,,,,,,
A. NO PHAI TRA,,,36226,101328,99263,
I. No ngan han,,,11583,42975,34939,
1. Phai tra nguoi ban ngan han,,,2151,5658,11222,
2. Nguoi mua tra tien truoc ngan han,,,2337,4013,1655,
3. Thue va cac khoan phai nop Nha nuoc,,,5549,7141,10199,
4. Phai tra nguoi lao dong,,,781,462,637,
5. Chi phi phai tra ngan han,,,119,1158,142,
6. Phai tra noi bo ngan han,,,,,-,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,-,
8. Doanh thu chua thuc hien ngan han,,,,,-,
9. Phai tra ngan han khac,,,646,566,5050,
10. Vay va no thue tai chinh ngan han,,,,23868,5570,
11. Du phong phai tra ngan han,,,,,-,
12. Quy khen thuong phuc loi,,,,108,463,
13. Quy binh on gia,,,,,-,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,-,
II. No dai han,,,24644,58353,64324,
1. Phai tra nguoi ban dai han,,,,,-,
2. Nguoi mua tra tien truoc dai han,,,,,-,
3. Chi phi phai tra dai han,,,,,-,
4. Phai tra noi bo ve von kinh doanh,,,,,-,
5. Phai tra noi bo dai han,,,,,-,
6. Doanh thu chua thuc hien dai han,,,,,-,
7. Phai tra dai han khac,,,694,55741,52976,
8. Vay va no thue tai chinh dai han,,,23949,2611,11348,
9. Trai phieu chuyen doi,,,,,-,
10. Co phieu uu dai (No),,,,,-,
11. Thue thu nhap hoan lai phai tra,,,,,-,
12. Du phong phai tra dai han,,,,,-,
13. Quy phat trien khoa hoc va cong nghe,,,,,-,
14. Du phong tro cap mat viec lam,,,,,-,
B. VON CHU SO HUU,,,96152,330761,361290,
I. Von chu so huu,,,62600,330761,361290,
1. Von gop cua chu so huu,,,54550,300000,316066,
- Co phieu pho thong co quyen bieu quyet,,,54550,300000,316066,
- Co phieu uu dai,,,,,-,
2. Thang du von co phan,,,567,637,637,
3. Quyen chon chuyen doi trai phieu,,,,,-,
4. Von khac cua chu so huu,,,,,-,
5. Co phieu quy (*),,,(983),(52),(215),
6. Chenh lech danh gia lai tai san,,,,,-,
7. Chenh lech ty gia hoi doai,,,,,-,
8. Quy dau tu phat trien,,,859,1462,1462,
9. Quy ho tro sap xep doanh nghiep,,,,,-,
10. Quy khac thuoc von chu so huu,,,,,-,
11. Loi nhuan sau thue chua phan phoi,,,7003,24472,38949,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,6697,7916,
- LNST chua phan phoi ky nay,,,,17774,31033,
12. Nguon von dau tu XDCB,,,,,-,
13. Loi ich co dong khong kiem soat,,,,4242,4390,
14. Quy du phong tai chinh,,,603,,-,
II. Nguon kinh phi va quy khac,,,33552,,-,
1. Nguon kinh phi,,,,,-,
2. Nguon kinh phi da hinh thanh TSCD,,,33552,,-,
C. LOI ICH CO DONG THIEU SO,,,4002,,-,
TONG CONG NGUON VON,,,136381,432089,460553,
