TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1171260,1227343,1079939,1089223,
I. Tien va cac khoan tuong duong tien,,7095,7298,5224,5087,
1. Tien,,7095,7298,5224,5087,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,29000,29000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,29000,29000,
III. Cac khoan phai thu ngan han,,1102428,1159080,976046,989784,
1. Phai thu ngan han cua khach hang,,679427,696166,448134,497778,
2. Tra truoc cho nguoi ban ngan han,,51801,27578,57703,35794,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,295383,384973,384750,394314,
6. Phai thu ngan han khac,,100285,73606,110448,86886,
7. Du phong phai thu ngan han kho doi (*),,(24468),(23244),(24989),(24989),
8. Tai san thieu cho xu ly,,-,-,-,-,
IV. Hang ton kho,,56188,56744,65276,61683,
1. Hang ton kho,,56703,57259,65638,62045,
2. Du phong giam gia hang ton kho (*),,(515),(515),(362),(362),
V. Tai san ngan han khac,,5549,4221,4393,3669,
1. Chi phi tra truoc ngan han,,4484,3117,3237,2637,
2. Thue GTGT duoc khau tru,,608,632,711,562,
3. Thue va cac khoan khac phai thu cua nha nuoc,,458,473,445,470,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,687747,651031,632153,631084,
I. Cac khoan phai thu dai han,,82977,82953,83564,82615,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,80000,80000,80000,80000,
6. Phai thu dai han khac,,2977,2953,3564,2615,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,307090,301626,306004,304310,
1. Tai san co dinh huu hinh,,260490,256547,252128,248648,
- Nguyen gia,,332833,333344,321802,317879,
- Gia tri hao mon luy ke (*),,(72343),(76797),(69674),(69232),
2. Tai san co dinh thue tai chinh,,44328,42821,51632,53433,
- Nguyen gia,,51615,51615,61933,62805,
- Gia tri hao mon luy ke (*),,(7287),(8794),(10301),(9372),
3. Tai san co dinh vo hinh,,2272,2258,2244,2230,
- Nguyen gia,,2793,2793,2793,2793,
- Gia tri hao mon luy ke (*),,(521),(535),(549),(563),
III. Bat dong san dau tu,,21508,21350,748,661,
- Nguyen gia,,26421,26421,3502,3502,
- Gia tri hao mon luy ke (*),,(4913),(5071),(2753),(2841),
IV. Tai san do dang dai han,,92268,70162,70319,76958,
1. Chi phi san xuat kinh doanh do dang dai han,,91500,69433,69413,69478,
2. Chi phi xay dung co ban do dang,,769,730,905,7480,
V. Dau tu tai chinh dai han,,132120,132113,132813,132107,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,132120,132113,132113,132107,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,700,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,51783,42827,38704,34433,
1. Chi phi tra truoc dai han,,7326,6808,6555,6252,
2. Tai san thue thu nhap hoan lai,,44458,36019,32150,28181,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1859007,1878375,1712092,1720307,
NGUON VON,,,,,,
A. NO PHAI TRA,,1419677,1393916,1203501,1191747,
I. No ngan han,,797011,771665,622136,648188,
1. Phai tra nguoi ban ngan han,,234939,194150,185726,218051,
2. Nguoi mua tra tien truoc ngan han,,27329,32394,20320,24075,
3. Thue va cac khoan phai nop Nha nuoc,,3948,6156,5025,2564,
4. Phai tra nguoi lao dong,,3215,2849,5609,2847,
5. Chi phi phai tra ngan han,,1901,1315,1849,1522,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,170,170,170,
9. Phai tra ngan han khac,,158187,151655,58961,80795,
10. Vay va no thue tai chinh ngan han,,351402,366890,328390,302501,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,16089,16086,16086,15662,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,622666,622251,581365,543559,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,7851,7851,7851,7851,
3. Chi phi phai tra dai han,,18514,18514,17232,17232,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,2219,2219,2219,2219,
7. Phai tra dai han khac,,1414,1389,27995,1179,
8. Vay va no thue tai chinh dai han,,592668,592278,526067,515078,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,439330,484459,508591,528560,
I. Von chu so huu,,439330,484459,508591,528560,
1. Von gop cua chu so huu,,443754,443754,443754,443754,
- Co phieu pho thong co quyen bieu quyet,,443754,443754,443754,443754,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(7500),(7500),(7500),(7500),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,36480,36480,36480,36480,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,(33403),11725,35858,55827,
- LNST chua phan phoi luy ke den cuoi ky truoc,,(105534),(105534),(105534),34641,
- LNST chua phan phoi ky nay,,72130,117259,141391,21186,
