TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,762749,807556,604934,610927,
I. Tien va cac khoan tuong duong tien,,28526,10835,20342,31243,
1. Tien,,28526,10835,20342,31243,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,3105,4255,9200,29540,
1. Chung khoan kinh doanh,,23000,23000,23000,23000,
2. Du phong giam gia chung khoan kinh doanh (*),,(19895),(18745),(13800),(14260),
3. Dau tu nam giu den ngay dao han,,,,,20800,
III. Cac khoan phai thu ngan han,,282243,346754,244411,233666,
1. Phai thu ngan han cua khach hang,,276308,361287,214468,217492,
2. Tra truoc cho nguoi ban ngan han,,12683,11089,20211,4096,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,7305,7860,11306,16865,
7. Du phong phai thu ngan han kho doi (*),,(14053),(33481),(1573),(4787),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,445432,433800,328606,305886,
1. Hang ton kho,,471614,443997,348655,321697,
2. Du phong giam gia hang ton kho (*),,(26182),(10197),(20049),(15811),
V. Tai san ngan han khac,,3443,11912,2375,10591,
1. Chi phi tra truoc ngan han,,130,86,270,116,
2. Thue GTGT duoc khau tru,,62,8457,1252,10475,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,78,853,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3250,3291,,,
B. TAI SAN DAI HAN,,271548,284846,254299,164283,
I. Cac khoan phai thu dai han,,,,280,264,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,280,264,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,149096,144320,126399,37592,
1. Tai san co dinh huu hinh,,56667,51024,36060,31785,
- Nguyen gia,,88730,89223,71294,65684,
- Gia tri hao mon luy ke (*),,(32063),(38199),(35234),(33899),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,90720,90529,90339,5807,
- Nguyen gia,,91196,91196,91196,6854,
- Gia tri hao mon luy ke (*),,(476),(666),(857),(1047),
III. Bat dong san dau tu,,119061,116397,110339,104287,
- Nguyen gia,,142081,145469,145464,145464,
- Gia tri hao mon luy ke (*),,(23020),(29073),(35125),(41177),
IV. Tai san do dang dai han,,,,934,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1709,2767,934,,
V. Dau tu tai chinh dai han,,2508,23588,13659,20672,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,35079,35079,
4. Du phong dau tu tai chinh dai han (*),,(14000),(14000),(21420),(26407),
5. Dau tu nam giu den ngay dao han,,,,,12000,
6. Dau tu dai han khac,,16508,37588,,,
VI. Tai san dai han khac,,883,542,2687,1469,
1. Chi phi tra truoc dai han,,489,262,2687,1469,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,394,280,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1034297,1092403,859233,775210,
NGUON VON,,,,,,
A. NO PHAI TRA,,696233,761612,583098,436418,
I. No ngan han,,656614,735479,563178,413237,
1. Phai tra nguoi ban ngan han,,134147,209616,37055,36982,
2. Nguoi mua tra tien truoc ngan han,,399,4335,6246,1131,
3. Thue va cac khoan phai nop Nha nuoc,,13532,3210,296,2407,
4. Phai tra nguoi lao dong,,4158,10011,6249,8216,
5. Chi phi phai tra ngan han,,2494,1816,716,3159,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,99,
9. Phai tra ngan han khac,,5044,2493,1880,730,
10. Vay va no thue tai chinh ngan han,,494549,500870,510213,360126,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2292,3127,523,387,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,39619,26132,19919,23181,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,493,,,,
7. Phai tra dai han khac,,18571,17972,19919,23181,
8. Vay va no thue tai chinh dai han,,20385,8160,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
