TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,24540,20600,21897,21025,
I. Tien va cac khoan tuong duong tien,,6999,3555,3357,5943,
1. Tien,,5999,3555,3357,5943,
2. Cac khoan tuong duong tien,,1000,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,14498,12903,13988,10706,
1. Phai thu ngan han cua khach hang,,9283,10061,10415,9756,
2. Tra truoc cho nguoi ban ngan han,,5278,914,2815,191,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,310,2114,944,951,
7. Du phong phai thu ngan han kho doi (*),,(372),(185),(185),(192),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1443,3496,3379,3525,
1. Hang ton kho,,1443,3496,3379,3525,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,1600,645,1172,851,
1. Chi phi tra truoc ngan han,,891,645,1172,851,
2. Thue GTGT duoc khau tru,,641,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,68,,,,
B. TAI SAN DAI HAN,,113980,132333,123751,125909,
I. Cac khoan phai thu dai han,,,,605,574,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,605,574,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,107406,103502,91172,100694,
1. Tai san co dinh huu hinh,,60742,92088,82279,91312,
- Nguyen gia,,148169,191924,194467,218489,
- Gia tri hao mon luy ke (*),,(87427),(99836),(112188),(127177),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,7376,7126,8893,9382,
- Nguyen gia,,9020,9020,9694,10772,
- Gia tri hao mon luy ke (*),,(1644),(1894),(801),(1390),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,5912,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,39289,4288,5912,,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,6573,28831,26061,24642,
1. Chi phi tra truoc dai han,,6131,28226,26061,24642,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,443,605,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,138520,152933,145648,146935,
NGUON VON,,,,,,
A. NO PHAI TRA,,31133,43372,36386,36543,
I. No ngan han,,31071,43310,34453,29539,
1. Phai tra nguoi ban ngan han,,9236,10174,6124,10694,
2. Nguoi mua tra tien truoc ngan han,,1158,515,1581,1630,
3. Thue va cac khoan phai nop Nha nuoc,,6849,7516,6476,6397,
4. Phai tra nguoi lao dong,,8518,7327,8925,8015,
5. Chi phi phai tra ngan han,,,35,30,8,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,710,463,1410,590,
10. Vay va no thue tai chinh ngan han,,3896,16366,9025,1983,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,703,913,882,223,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,62,62,1932,7004,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,62,62,52,47,
8. Vay va no thue tai chinh dai han,,,,1880,6257,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,699,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,107387,109561,109262,110392,
I. Von chu so huu,,107387,109561,109262,110392,
1. Von gop cua chu so huu,,80000,80000,80000,80000,
- Co phieu pho thong co quyen bieu quyet,,,,80000,80000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(1),(1),(1),(1),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,14955,17017,19718,19684,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,11113,10605,9545,10708,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,92,94,
- LNST chua phan phoi ky nay,,,,9453,10614,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,1320,1939,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,138520,152933,145648,146935,
