TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,13578975,13826057,18169854,21530443,
I. Tien va cac khoan tuong duong tien,,3026845,3282771,4558661,2380437,
1. Tien,,584191,550480,556923,654072,
2. Cac khoan tuong duong tien,,2442653,2732291,4001738,1726365,
II. Dau tu tai chinh ngan han,,545179,250497,693499,5674128,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,545179,250497,693499,5674128,
III. Cac khoan phai thu ngan han,,1479563,2066481,2386926,2498831,
1. Phai thu ngan han cua khach hang,,890806,1243987,1530021,1390023,
2. Tra truoc cho nguoi ban ngan han,,582385,822581,722329,1047357,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,46275,40442,175058,101071,
7. Du phong phai thu ngan han kho doi (*),,(41436),(41210),(41339),(40925),
8. Tai san thieu cho xu ly,,1532,681,857,1305,
IV. Hang ton kho,,8247774,7988921,10247213,10509719,
1. Hang ton kho,,8467487,8208921,10391513,10653997,
2. Du phong giam gia hang ton kho (*),,(219714),(220001),(144300),(144277),
V. Tai san ngan han khac,,279615,237386,283556,467328,
1. Chi phi tra truoc ngan han,,27217,39861,18988,52142,
2. Thue GTGT duoc khau tru,,243289,180158,255639,389017,
3. Thue va cac khoan khac phai thu cua nha nuoc,,6626,15099,8804,26168,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2482,2269,125,,
B. TAI SAN DAI HAN,,14096395,14642504,15056702,15415383,
I. Cac khoan phai thu dai han,,17019,17006,25302,23080,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,5000,2500,2500,2500,
6. Phai thu dai han khac,,12019,14506,22802,20580,
7. Du phong phai thu dai han kho doi (*),,,,,,
