TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,2116099,2731120,4315299,4774312,
I. Tien va cac khoan tuong duong tien,,20615,26200,50511,69636,
1. Tien,,20615,26200,50511,69636,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,300205,155515,4100,,
1. Chung khoan kinh doanh,,300205,155515,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,4100,,
III. Cac khoan phai thu ngan han,,1143778,1668057,3300690,3890245,
1. Phai thu ngan han cua khach hang,,460767,645826,951195,766567,
2. Tra truoc cho nguoi ban ngan han,,527329,731112,1943637,2598825,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,172907,347690,
6. Phai thu ngan han khac,,179553,325521,279687,234084,
7. Du phong phai thu ngan han kho doi (*),,(23872),(34403),(47870),(58055),
8. Tai san thieu cho xu ly,,,,1134,1133,
IV. Hang ton kho,,611294,788927,917164,794217,
1. Hang ton kho,,611294,788927,917164,794217,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,40207,92421,42834,20214,
1. Chi phi tra truoc ngan han,,553,543,1959,253,
2. Thue GTGT duoc khau tru,,2656,31327,39687,18882,
3. Thue va cac khoan khac phai thu cua nha nuoc,,526,876,1188,1078,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,36473,59675,,,
B. TAI SAN DAI HAN,,1023980,1324924,2064203,2085975,
I. Cac khoan phai thu dai han,,,,75812,1125690,
1. Phai thu dai han cua khach hang,,,,70400,70400,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,3228,7816,
6. Phai thu dai han khac,,,,2184,1047475,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,6905,6281,31342,42308,
1. Tai san co dinh huu hinh,,6711,6121,20569,30681,
- Nguyen gia,,17031,17355,38198,45161,
- Gia tri hao mon luy ke (*),,(10320),(11235),(17629),(14480),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,34,,10773,11627,
- Nguyen gia,,171,171,11947,13133,
- Gia tri hao mon luy ke (*),,(136),(171),(1173),(1506),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,21768,66298,
1. Chi phi san xuat kinh doanh do dang dai han,,,,19467,61371,
2. Chi phi xay dung co ban do dang,,160,160,2302,4927,
