TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,4214833,6399612,5169208,7057496,
I. Tien va cac khoan tuong duong tien,,177313,155963,276693,576621,
1. Tien,,177313,139263,276553,576477,
2. Cac khoan tuong duong tien,,,16700,140,144,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,748159,823122,755198,1097735,
1. Phai thu ngan han cua khach hang,,548363,639992,463585,512883,
2. Tra truoc cho nguoi ban ngan han,,187575,169551,167829,418335,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,400,
6. Phai thu ngan han khac,,15225,16762,128763,172878,
7. Du phong phai thu ngan han kho doi (*),,(3004),(3183),(4980),(6761),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,3019574,4746912,3543825,4821501,
1. Hang ton kho,,3020465,4747945,3556894,4835669,
2. Du phong giam gia hang ton kho (*),,(891),(1033),(13069),(14168),
V. Tai san ngan han khac,,269788,673615,593492,561640,
1. Chi phi tra truoc ngan han,,79882,63447,70777,89057,
2. Thue GTGT duoc khau tru,,169584,605809,505939,472571,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4,107,,12,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,20318,4252,16776,,
B. TAI SAN DAI HAN,,2927338,3806029,4271406,5252490,
I. Cac khoan phai thu dai han,,,,25000,28471,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,25000,
6. Phai thu dai han khac,,,,25000,3471,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,2789680,3654010,3923345,4590256,
1. Tai san co dinh huu hinh,,2235719,3189284,3403034,4010722,
- Nguyen gia,,3304810,4589466,5246749,6334589,
- Gia tri hao mon luy ke (*),,(1069090),(1400181),(1843715),(2323867),
2. Tai san co dinh thue tai chinh,,122416,165182,225652,286223,
- Nguyen gia,,141198,197948,283931,390450,
- Gia tri hao mon luy ke (*),,(18781),(32766),(58279),(104227),
3. Tai san co dinh vo hinh,,234455,233117,294659,293311,
- Nguyen gia,,253522,255737,320751,322941,
- Gia tri hao mon luy ke (*),,(19068),(22619),(26092),(29630),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,111014,294090,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,197089,66427,111014,294090,
V. Dau tu tai chinh dai han,,59456,45924,38353,25902,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,44456,44456,33986,25902,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,(7172),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,15000,8640,4367,,
VI. Tai san dai han khac,,78202,106094,173695,313771,
1. Chi phi tra truoc dai han,,57768,70471,110639,218967,
2. Tai san thue thu nhap hoan lai,,16019,31208,59470,94804,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,4416,4416,3586,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,7142171,10205640,9440614,12309986,
NGUON VON,,,,,,
A. NO PHAI TRA,,4931735,7826443,6529892,8180013,
I. No ngan han,,4338668,6867040,5554945,6757387,
1. Phai tra nguoi ban ngan han,,1317685,1885979,626270,1620490,
2. Nguoi mua tra tien truoc ngan han,,73221,61287,134062,152344,
3. Thue va cac khoan phai nop Nha nuoc,,51640,47194,71264,196511,
4. Phai tra nguoi lao dong,,38337,41256,40673,82047,
5. Chi phi phai tra ngan han,,22393,42578,104041,262427,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,16514,23487,48854,46540,
10. Vay va no thue tai chinh ngan han,,2814414,4756011,4521419,4366173,
11. Du phong phai tra ngan han,,,9248,,,
12. Quy khen thuong phuc loi,,4464,,8363,30856,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,593067,959403,974946,1422626,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,588027,953821,969894,1418572,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,4054,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,5040,5582,5052,,
B. VON CHU SO HUU,,2210436,2379197,2910722,4129973,
I. Von chu so huu,,2210436,2379197,2910722,4129973,
1. Von gop cua chu so huu,,1007908,1007908,1007908,1965398,
- Co phieu pho thong co quyen bieu quyet,,,,1007908,1965398,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,451543,451543,487290,551572,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,(81039),,,
5. Co phieu quy (*),,(81036),8525,(52114),,
6. Chenh lech danh gia lai tai san,,,13278,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,2008,,6605,6785,
11. Loi nhuan sau thue chua phan phoi,,821487,978982,1452507,1602772,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,,98578,
- LNST chua phan phoi ky nay,,,,,1504193,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,3446,
14. Quy du phong tai chinh,,8525,,8525,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,7142171,10205640,9440614,12309986,
