TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1652439,1754650,1761917,1752040,
I. Tien va cac khoan tuong duong tien,,374570,334207,486086,329921,
1. Tien,,374570,334207,486086,311900,
2. Cac khoan tuong duong tien,,,,,18021,
II. Dau tu tai chinh ngan han,,7587,6248,7406,33,
1. Chung khoan kinh doanh,,10776,10776,10776,58,
2. Du phong giam gia chung khoan kinh doanh (*),,(3189),(4528),(3370),(24),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,510619,478930,455101,531356,
1. Phai thu ngan han cua khach hang,,456548,434112,409405,477602,
2. Tra truoc cho nguoi ban ngan han,,36852,29420,24946,32464,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,19980,16558,19867,17749,
7. Du phong phai thu ngan han kho doi (*),,(2762),(2762),(2657),,
8. Tai san thieu cho xu ly,,,1601,3540,3540,
IV. Hang ton kho,,748304,918481,797398,856452,
1. Hang ton kho,,763235,928758,828232,887241,
2. Du phong giam gia hang ton kho (*),,(14931),(10277),(30834),(30790),
V. Tai san ngan han khac,,11359,16784,15926,34277,
1. Chi phi tra truoc ngan han,,10208,12553,8149,29878,
2. Thue GTGT duoc khau tru,,1151,4232,7777,4399,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,10318379,10215297,10016470,9869838,
I. Cac khoan phai thu dai han,,12094,12094,11819,12671,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,12094,12094,11819,12671,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,8961547,
