TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,41716,57882,77102,33908,
I. Tien va cac khoan tuong duong tien,,7669,8717,8337,9231,
1. Tien,,7669,8717,8337,9231,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,8000,18000,38000,,
1. Chung khoan kinh doanh,,8000,18000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,38000,,
III. Cac khoan phai thu ngan han,,16505,17249,15443,17960,
1. Phai thu ngan han cua khach hang,,8406,6150,2862,8049,
2. Tra truoc cho nguoi ban ngan han,,8124,11099,4585,7993,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,719,744,8741,2662,
7. Du phong phai thu ngan han kho doi (*),,(744),(744),(744),(744),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,2175,704,14866,2358,
1. Hang ton kho,,2175,704,14866,2358,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,7367,13212,456,4359,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,5376,11356,395,4300,
3. Thue va cac khoan khac phai thu cua nha nuoc,,63,59,61,59,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1927,1796,,,
B. TAI SAN DAI HAN,,951260,1162775,1190029,1314605,
I. Cac khoan phai thu dai han,,17931,17931,17931,7950,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,17931,17931,17931,7950,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,899729,1117918,1085654,969175,
1. Tai san co dinh huu hinh,,295104,204055,1085540,969091,
- Nguyen gia,,794392,795670,1789067,1790215,
- Gia tri hao mon luy ke (*),,(499288),(591615),(703526),(821125),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
