TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,308509,325530,292532,,
I. Tien va cac khoan tuong duong tien,,80486,98143,89130,,
1. Tien,,19686,5943,12630,,
2. Cac khoan tuong duong tien,,60800,92200,76500,,
II. Dau tu tai chinh ngan han,,70991,95991,105991,,
1. Chung khoan kinh doanh,,20991,20991,20991,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,50000,75000,85000,,
III. Cac khoan phai thu ngan han,,156803,131243,96684,,
1. Phai thu ngan han cua khach hang,,104989,130430,82840,,
2. Tra truoc cho nguoi ban ngan han,,1528,740,11153,,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,50894,680,3425,,
7. Du phong phai thu ngan han kho doi (*),,(608),(608),(734),,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,229,153,183,,
1. Hang ton kho,,229,153,183,,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,,,544,,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,,,544,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,67256,63574,61824,,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,66896,63456,60069,,
1. Tai san co dinh huu hinh,,66896,63456,60069,,
- Nguyen gia,,146569,146569,146545,,
- Gia tri hao mon luy ke (*),,(79673),(83112),(86476),,
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,105,117,256,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,105,117,256,,
V. Dau tu tai chinh dai han,,256,,1500,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,256,,1500,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,,,,,
1. Chi phi tra truoc dai han,,,,,,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,375766,389104,354356,,
NGUON VON,,,,,,
A. NO PHAI TRA,,66316,74827,36977,46909,
I. No ngan han,,66316,74827,36977,46909,
1. Phai tra nguoi ban ngan han,,15844,28414,18380,22627,
2. Nguoi mua tra tien truoc ngan han,,,,,,
3. Thue va cac khoan phai nop Nha nuoc,,3471,2569,822,1284,
4. Phai tra nguoi lao dong,,4172,5894,9272,3191,
5. Chi phi phai tra ngan han,,18843,15762,117,13270,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,15641,14430,1045,1006,
10. Vay va no thue tai chinh ngan han,,,,,,
11. Du phong phai tra ngan han,,,,,55,
12. Quy khen thuong phuc loi,,8345,7756,7341,5476,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,309450,314277,317379,322245,
I. Von chu so huu,,309450,314277,317379,322245,
1. Von gop cua chu so huu,,131040,131040,131040,131040,
- Co phieu pho thong co quyen bieu quyet,,131040,131040,131040,,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,53071,53071,53071,53071,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,109523,109523,109523,109523,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,15816,20644,23746,28612,
- LNST chua phan phoi luy ke den cuoi ky truoc,,1197,1072,1072,23823,
- LNST chua phan phoi ky nay,,14619,19571,22673,4789,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,375766,389104,354356,369154,
