TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,447580,460245,532587,514615,
I. Tien va cac khoan tuong duong tien,,26981,17187,31019,12632,
1. Tien,,18481,5987,10119,7432,
2. Cac khoan tuong duong tien,,8500,11200,20900,5200,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,204543,200988,183444,203057,
1. Phai thu ngan han cua khach hang,,72580,76249,93298,104347,
2. Tra truoc cho nguoi ban ngan han,,2579,2334,6192,3689,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,41870,40730,2640,7678,
6. Phai thu ngan han khac,,87513,81675,81313,87344,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,211215,233096,305799,289449,
1. Hang ton kho,,211215,233096,305799,289449,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,4842,8974,12325,9476,
1. Chi phi tra truoc ngan han,,,,,,
2. Thue GTGT duoc khau tru,,593,593,11726,9465,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4249,8381,599,12,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,73755,76277,77236,78372,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,44043,45903,45412,46698,
1. Tai san co dinh huu hinh,,44043,45903,45412,46698,
- Nguyen gia,,51175,52371,52883,55211,
- Gia tri hao mon luy ke (*),,(7132),(6468),(7471),(8513),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,1248,1248,1348,1348,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1248,1248,1348,1348,
V. Dau tu tai chinh dai han,,27210,27172,27358,27349,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,4116,4078,4264,4255,
3. Dau tu gop von vao don vi khac,,23860,23860,23860,23860,
4. Du phong dau tu tai chinh dai han (*),,(766),(766),(766),(766),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,1254,1954,3118,2977,
1. Chi phi tra truoc dai han,,1254,1954,3118,2977,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,521336,536521,609823,592987,
NGUON VON,,,,,,
A. NO PHAI TRA,,344806,356358,428543,403970,
I. No ngan han,,344806,356358,428543,403970,
1. Phai tra nguoi ban ngan han,,33389,30580,29112,32902,
2. Nguoi mua tra tien truoc ngan han,,130593,73882,66839,67598,
3. Thue va cac khoan phai nop Nha nuoc,,3858,1805,1899,2769,
4. Phai tra nguoi lao dong,,130,85,,141,
5. Chi phi phai tra ngan han,,8398,34260,53152,44042,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,101436,101846,130177,107468,
10. Vay va no thue tai chinh ngan han,,65524,112899,146606,148832,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,1480,1001,757,219,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,176529,180163,181279,189017,
I. Von chu so huu,,176529,180163,181279,189017,
1. Von gop cua chu so huu,,99999,99999,99999,99999,
- Co phieu pho thong co quyen bieu quyet,,99999,99999,99999,99999,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,54892,54892,54892,55024,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,11647,15173,16044,23776,
- LNST chua phan phoi luy ke den cuoi ky truoc,,166,21,,15507,
- LNST chua phan phoi ky nay,,11480,15152,16044,8269,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,9991,10098,10343,10218,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,521336,536521,609823,592987,
