TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,276576,332275,259128,356998,
I. Tien va cac khoan tuong duong tien,,16499,22425,14158,18691,
1. Tien,,16499,22425,14158,18691,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,146597,188948,116631,202716,
1. Phai thu ngan han cua khach hang,,143698,191489,113174,194657,
2. Tra truoc cho nguoi ban ngan han,,1835,2654,1439,2165,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,2000,500,,,
6. Phai thu ngan han khac,,9771,5174,12887,16763,
7. Du phong phai thu ngan han kho doi (*),,(10707),(10869),(10869),(10869),
