TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,5854561,6735871,5584106,5438914,
I. Tien va cac khoan tuong duong tien,,60108,48659,38197,26525,
1. Tien,,60108,44876,8197,26525,
2. Cac khoan tuong duong tien,,,3783,30000,-,
II. Dau tu tai chinh ngan han,,,,25000,8005,
1. Chung khoan kinh doanh,,,,,-,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,-,
3. Dau tu nam giu den ngay dao han,,,,25000,8005,
III. Cac khoan phai thu ngan han,,2330329,2372589,1889094,1951234,
1. Phai thu ngan han cua khach hang,,712158,675303,502498,528365,
2. Tra truoc cho nguoi ban ngan han,,427406,535559,473509,426845,
3. Phai thu noi bo ngan han,,,,,-,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,
