TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,355535,373354,510543,478328,
I. Tien va cac khoan tuong duong tien,,39285,55105,95716,99730,
1. Tien,,16337,37389,73053,33084,
2. Cac khoan tuong duong tien,,22948,17716,22663,66646,
II. Dau tu tai chinh ngan han,,54996,53552,35821,32320,
1. Chung khoan kinh doanh,,55796,54352,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(800),(800),,,
3. Dau tu nam giu den ngay dao han,,,,35821,32320,
III. Cac khoan phai thu ngan han,,132736,153742,187261,257975,
1. Phai thu ngan han cua khach hang,,131533,142637,147895,260877,
2. Tra truoc cho nguoi ban ngan han,,4435,19838,40863,5210,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,300,,
6. Phai thu ngan han khac,,6462,5268,11137,9507,
7. Du phong phai thu ngan han kho doi (*),,(9694),(14001),(13051),(17736),
8. Tai san thieu cho xu ly,,,,116,116,
IV. Hang ton kho,,53966,40145,121137,69553,
1. Hang ton kho,,63256,50587,134669,85309,
2. Du phong giam gia hang ton kho (*),,(9291),(10442),(13533),(15756),
V. Tai san ngan han khac,,74553,70809,70610,18750,
1. Chi phi tra truoc ngan han,,2844,2295,2321,2365,
2. Thue GTGT duoc khau tru,,2417,4011,5893,3403,
3. Thue va cac khoan khac phai thu cua nha nuoc,,607,700,5302,39,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,68685,63803,57094,12943,
B. TAI SAN DAI HAN,,105625,92889,87166,91004,
I. Cac khoan phai thu dai han,,,,2570,3091,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,35,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,2570,3262,
7. Du phong phai thu dai han kho doi (*),,,,,(206),
II. Tai san co dinh,,86976,81827,78294,77879,
1. Tai san co dinh huu hinh,,55177,51201,48663,49421,
- Nguyen gia,,72054,69445,71259,76843,
- Gia tri hao mon luy ke (*),,(16878),(18244),(22596),(27422),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,31799,30627,29630,28459,
- Nguyen gia,,35944,35974,36143,36203,
- Gia tri hao mon luy ke (*),,(4144),(5348),(6513),(7745),
III. Bat dong san dau tu,,3385,1476,1233,4909,
- Nguyen gia,,40035,40069,40203,44621,
- Gia tri hao mon luy ke (*),,(36650),(38593),(38970),(39712),
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,,
V. Dau tu tai chinh dai han,,3725,1184,,425,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,3934,1486,,,
3. Dau tu gop von vao don vi khac,,,5915,,,
4. Du phong dau tu tai chinh dai han (*),,(6217),(6217),,,
5. Dau tu nam giu den ngay dao han,,,,,425,
6. Dau tu dai han khac,,6008,,,,
VI. Tai san dai han khac,,9176,6377,3382,3350,
1. Chi phi tra truoc dai han,,4421,3236,2801,2847,
2. Tai san thue thu nhap hoan lai,,1876,697,581,503,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,2879,2443,,,
VII. Loi the thuong mai,,2362,2025,1687,1350,
TONG CONG TAI SAN,,461160,466242,597709,569331,
NGUON VON,,,,,,
A. NO PHAI TRA,,210645,221207,311211,246660,
I. No ngan han,,160154,210918,299414,206655,
1. Phai tra nguoi ban ngan han,,30849,38493,62721,72047,
2. Nguoi mua tra tien truoc ngan han,,9085,26226,41216,8981,
3. Thue va cac khoan phai nop Nha nuoc,,10073,7847,8533,15426,
4. Phai tra nguoi lao dong,,3578,8131,16905,15602,
5. Chi phi phai tra ngan han,,8284,13165,13766,22297,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,7269,8893,
9. Phai tra ngan han khac,,67953,80910,77393,40946,
10. Vay va no thue tai chinh ngan han,,20612,26118,55291,5516,
11. Du phong phai tra ngan han,,5168,5506,11812,12158,
12. Quy khen thuong phuc loi,,4552,4522,4507,4788,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,50491,10289,11797,40006,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,292,122,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,12873,7468,221,191,
7. Phai tra dai han khac,,1466,1466,1112,139,
8. Vay va no thue tai chinh dai han,,33000,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,8808,
12. Du phong phai tra dai han,,1802,,10172,28377,
13. Quy phat trien khoa hoc va cong nghe,,1350,,,2369,
14. Du phong tro cap mat viec lam,,,1355,,,
B. VON CHU SO HUU,,197865,245035,286499,322671,
I. Von chu so huu,,197865,200027,286499,322671,
1. Von gop cua chu so huu,,127712,127712,153250,190648,
- Co phieu pho thong co quyen bieu quyet,,,127712,153250,190648,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(16),(16),(16),(16),
6. Chenh lech danh gia lai tai san,,(25720),(35564),(35564),(28686),
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,92515,104248,136854,124395,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,92582,80256,
- LNST chua phan phoi ky nay,,,,44272,44138,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,31975,36330,
14. Quy du phong tai chinh,,3373,3646,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,52650,45008,,,
TONG CONG NGUON VON,,461160,466242,597709,569331,
