TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1157872,2023997,341474,270741,
I. Tien va cac khoan tuong duong tien,,56582,496407,8688,30306,
1. Tien,,56582,496407,8688,30306,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,285600,,,
1. Chung khoan kinh doanh,,,285600,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,621288,883705,171488,160608,
1. Phai thu ngan han cua khach hang,,407409,650602,477591,497469,
2. Tra truoc cho nguoi ban ngan han,,215268,233806,298094,309259,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,2229,999,
6. Phai thu ngan han khac,,,686,520275,526482,
7. Du phong phai thu ngan han kho doi (*),,(1388),(1388),(1126701),(1173961),
8. Tai san thieu cho xu ly,,,,,360,
IV. Hang ton kho,,455692,347396,161139,77196,
1. Hang ton kho,,455692,347396,231835,122966,
2. Du phong giam gia hang ton kho (*),,,,(70695),(45769),
V. Tai san ngan han khac,,24310,10888,159,2632,
1. Chi phi tra truoc ngan han,,1367,1056,151,1607,
2. Thue GTGT duoc khau tru,,6845,,8,413,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,1,,612,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,16098,9832,,,
B. TAI SAN DAI HAN,,472343,527442,500015,461854,
I. Cac khoan phai thu dai han,,7163,7265,9596,8575,
1. Phai thu dai han cua khach hang,,7163,7265,6096,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,3500,8575,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,448058,459782,471756,437104,
1. Tai san co dinh huu hinh,,375175,358233,403934,376207,
- Nguyen gia,,732533,743350,834829,768635,
- Gia tri hao mon luy ke (*),,(357358),(385117),(430895),(392428),
2. Tai san co dinh thue tai chinh,,,97959,67748,60844,
- Nguyen gia,,,99977,76612,76612,
- Gia tri hao mon luy ke (*),,,(2018),(8864),(15768),
3. Tai san co dinh vo hinh,,4266,3590,74,54,
- Nguyen gia,,4989,5093,142,142,
- Gia tri hao mon luy ke (*),,(723),(1503),(67),(88),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,42669,2568,2177,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,68617,42669,2568,2177,
V. Dau tu tai chinh dai han,,13279,10500,1502,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,500,750,750,
3. Dau tu gop von vao don vi khac,,,,,110750,
4. Du phong dau tu tai chinh dai han (*),,,,(110750),(111500),
5. Dau tu nam giu den ngay dao han,,,,111502,,
6. Dau tu dai han khac,,13279,10000,,,
VI. Tai san dai han khac,,3843,7227,14593,13998,
1. Chi phi tra truoc dai han,,3233,3022,14593,13998,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,611,4205,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1630215,2551439,841489,732595,
NGUON VON,,,,,,
A. NO PHAI TRA,,678760,659117,285069,207869,
I. No ngan han,,612148,470217,161963,162933,
1. Phai tra nguoi ban ngan han,,77986,97536,67479,112178,
2. Nguoi mua tra tien truoc ngan han,,26602,5794,13554,9232,
3. Thue va cac khoan phai nop Nha nuoc,,82270,66083,38762,566,
4. Phai tra nguoi lao dong,,1655,2134,5671,3278,
5. Chi phi phai tra ngan han,,968,994,19291,19865,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,28017,3560,3011,4196,
10. Vay va no thue tai chinh ngan han,,394650,294116,14193,13617,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,,,,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,66611,188900,123107,44937,
1. Phai tra nguoi ban dai han,,32565,85146,85376,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,22454,
8. Vay va no thue tai chinh dai han,,33123,103201,37417,22104,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,923,553,314,379,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,951456,1892322,556420,524726,
I. Von chu so huu,,951456,1892322,556420,524726,
1. Von gop cua chu so huu,,568185,1125002,1125002,1125002,
- Co phieu pho thong co quyen bieu quyet,,,1125002,1125002,1125002,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,152689,402408,402288,402288,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,17127,19211,19211,19211,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,213454,345701,(990081),(1021775),
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,345701,(990081),
- LNST chua phan phoi ky nay,,,,(1335782),(31694),
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,1630215,2551439,841489,732595,
