TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,66065,90743,87538,157660,
I. Tien va cac khoan tuong duong tien,,18299,21571,27178,28555,
1. Tien,,873,4145,9434,10811,
2. Cac khoan tuong duong tien,,17426,17426,17744,17744,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,43772,65002,49638,126842,
1. Phai thu ngan han cua khach hang,,2638,2546,2044,2383,
2. Tra truoc cho nguoi ban ngan han,,3761,15746,27589,35982,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,37373,46710,20005,88477,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,2418,2418,,,
1. Hang ton kho,,2418,2418,,,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,1575,1751,10723,2264,
1. Chi phi tra truoc ngan han,,66,79,8798,51,
2. Thue GTGT duoc khau tru,,1272,1435,1691,1970,
3. Thue va cac khoan khac phai thu cua nha nuoc,,238,238,234,243,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,
