TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,9989721,10649033,12003019,13010531,
I. Tien va cac khoan tuong duong tien,,103093,149105,228164,295085,
1. Tien,,32210,93734,129164,120596,
2. Cac khoan tuong duong tien,,70883,55371,99000,174490,
II. Dau tu tai chinh ngan han,,2060,2497,1738,1236,
1. Chung khoan kinh doanh,,7490,7490,7490,7490,
2. Du phong giam gia chung khoan kinh doanh (*),,(5430),(4993),(5752),(6255),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,2367770,2830014,3361579,4381552,
1. Phai thu ngan han cua khach hang,,702070,710633,493981,1095585,
2. Tra truoc cho nguoi ban ngan han,,1482398,1334537,1324234,1637233,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,12500,27738,
6. Phai thu ngan han khac,,201597,804193,1539947,1628332,
7. Du phong phai thu ngan han kho doi (*),,(18295),(19350),(9083),(7335),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,7473006,7616350,8364448,8243696,
1. Hang ton kho,,7473006,7616350,8364448,8243696,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,43792,51067,47089,88962,
1. Chi phi tra truoc ngan han,,48,2588,48,1728,
2. Thue GTGT duoc khau tru,,3138,3269,9081,53828,
3. Thue va cac khoan khac phai thu cua nha nuoc,,10351,8656,37959,33405,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,30255,36553,,,
B. TAI SAN DAI HAN,,2542618,2399789,1650689,1647017,
I. Cac khoan phai thu dai han,,282134,461843,355626,303758,
1. Phai thu dai han cua khach hang,,281834,461757,332306,211864,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,7693,50700,
6. Phai thu dai han khac,,300,86,15627,41194,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,390487,375592,141005,124169,
1. Tai san co dinh huu hinh,,144315,138924,141005,124169,
- Nguyen gia,,225389,241743,268170,276424,
- Gia tri hao mon luy ke (*),,(81075),(102820),(127165),(152254),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,1,,,,
- Nguyen gia,,70,72,72,72,
- Gia tri hao mon luy ke (*),,(69),(72),(72),(72),
III. Bat dong san dau tu,,129011,22182,20415,86625,
- Nguyen gia,,143955,27405,27405,95837,
- Gia tri hao mon luy ke (*),,(14944),(5223),(6990),(9212),
IV. Tai san do dang dai han,,,,234901,234361,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,246171,236668,234901,234361,
V. Dau tu tai chinh dai han,,1715016,1517792,892603,893138,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,745228,445994,462788,484351,
3. Dau tu gop von vao don vi khac,,,,452867,448500,
4. Du phong dau tu tai chinh dai han (*),,(95297),(69695),(23053),(39713),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,1065085,1141493,,,
VI. Tai san dai han khac,,25970,22381,6139,4966,
1. Chi phi tra truoc dai han,,25970,22321,6139,4966,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,60,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,12532339,13048822,13653707,14657548,
NGUON VON,,,,,,
A. NO PHAI TRA,,7617564,6792341,5617702,6036458,
I. No ngan han,,6520855,3302950,2944659,3372804,
1. Phai tra nguoi ban ngan han,,393777,55676,76993,113779,
2. Nguoi mua tra tien truoc ngan han,,432218,408858,425917,875176,
3. Thue va cac khoan phai nop Nha nuoc,,100107,167497,175788,160238,
4. Phai tra nguoi lao dong,,26,1607,69,46,
5. Chi phi phai tra ngan han,,1229258,1423633,1023288,1226171,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1053923,240333,30320,127376,
10. Vay va no thue tai chinh ngan han,,3304411,998212,1205202,862935,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,7134,7134,7083,7083,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,1096709,3489390,2673043,2663654,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,757092,785455,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,8086,5616,5302,5175,
7. Phai tra dai han khac,,131537,45522,59272,163467,
8. Vay va no thue tai chinh dai han,,553469,3054659,1351536,1104599,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,403617,383592,498888,604006,
12. Du phong phai tra dai han,,,,952,952,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,4050480,5376098,8036005,8621090,
I. Von chu so huu,,4050480,5376098,8036005,8621090,
1. Von gop cua chu so huu,,2957112,3957112,4757112,4757112,
- Co phieu pho thong co quyen bieu quyet,,,,4757112,4757112,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,611603,611603,989064,989064,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(364467),(364467),(364467),(364467),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,2224,2224,2224,2224,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,844008,1169626,1781536,2318835,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,1169626,1761465,
- LNST chua phan phoi ky nay,,,,611911,557370,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,870536,918322,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,864295,880384,,,
TONG CONG NGUON VON,,12532339,13048822,13653707,14657548,
