TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,3539797,4440869,5104359,4871914,
I. Tien va cac khoan tuong duong tien,,98018,116923,2333338,1323526,
1. Tien,,94218,108873,165338,95026,
2. Cac khoan tuong duong tien,,3800,8050,2168000,1228500,
II. Dau tu tai chinh ngan han,,1928738,1938614,3504,803764,
1. Chung khoan kinh doanh,,3953,3950,3949,3949,
2. Du phong giam gia chung khoan kinh doanh (*),,(313),(336),(446),(185),
3. Dau tu nam giu den ngay dao han,,1925098,1935000,,800000,
III. Cac khoan phai thu ngan han,,1321496,2182890,1989056,1913609,
1. Phai thu ngan han cua khach hang,,351548,338154,422214,380010,
2. Tra truoc cho nguoi ban ngan han,,211906,229534,90648,140642,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,8000,8000,8000,8000,
6. Phai thu ngan han khac,,776158,1618486,1479631,1396394,
7. Du phong phai thu ngan han kho doi (*),,(26170),(11339),(11490),(11490),
8. Tai san thieu cho xu ly,,54,54,54,54,
IV. Hang ton kho,,127383,142269,673455,723556,
1. Hang ton kho,,127383,142269,676411,728527,
2. Du phong giam gia hang ton kho (*),,,,(2956),(4971),
V. Tai san ngan han khac,,64161,60173,105006,107458,
1. Chi phi tra truoc ngan han,,13566,15010,20410,35310,
2. Thue GTGT duoc khau tru,,41157,44424,84258,70970,
3. Thue va cac khoan khac phai thu cua nha nuoc,,9438,739,338,1178,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,2820601,2698993,3761423,3760117,
I. Cac khoan phai thu dai han,,(11379),28737,27732,27923,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,(19605),19605,18455,18455,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,
