TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1547145,2826158,7635496,7241327,
I. Tien va cac khoan tuong duong tien,,88518,434689,982506,1059489,
1. Tien,,25368,211289,327059,629593,
2. Cac khoan tuong duong tien,,63150,223400,655448,429896,
II. Dau tu tai chinh ngan han,,,,44010,510,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,44010,510,
III. Cac khoan phai thu ngan han,,381191,279488,653811,1485091,
1. Phai thu ngan han cua khach hang,,26849,113468,140793,724960,
2. Tra truoc cho nguoi ban ngan han,,208440,2502,437470,469340,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,146002,163618,79296,294116,
7. Du phong phai thu ngan han kho doi (*),,(100),(100),(3748),(3324),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1068116,2074964,5865283,4617788,
1. Hang ton kho,,1068116,2074964,5865283,4617788,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,9320,37016,89885,78448,
1. Chi phi tra truoc ngan han,,619,1684,19048,24403,
2. Thue GTGT duoc khau tru,,8501,34812,70562,46952,
3. Thue va cac khoan khac phai thu cua nha nuoc,,116,267,275,7094,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,85,253,,,
B. TAI SAN DAI HAN,,194083,294428,906075,695584,
I. Cac khoan phai thu dai han,,,,102943,85444,
1. Phai thu dai han cua khach hang,,,,87741,74741,
2. Tra truoc cho nguoi ban dai han,,,,7777,5640,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,15212,14848,
7. Du phong phai thu dai han kho doi (*),,,,(7786),(9786),
II. Tai san co dinh,,3916,4374,31677,27547,
1. Tai san co dinh huu hinh,,3916,4374,31571,27489,
- Nguyen gia,,8870,10345,87697,88207,
- Gia tri hao mon luy ke (*),,(4954),(5971),(56126),(60718),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,106,58,
- Nguyen gia,,84,84,1787,1787,
- Gia tri hao mon luy ke (*),,(84),(84),(1681),(1728),
III. Bat dong san dau tu,,,,84914,81726,
- Nguyen gia,,,,131865,127558,
- Gia tri hao mon luy ke (*),,,,(46951),(45832),
IV. Tai san do dang dai han,,,,439962,272425,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,439962,272425,
V. Dau tu tai chinh dai han,,174833,271000,226571,208585,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,160833,,210516,193016,
3. Dau tu gop von vao don vi khac,,,,17135,17135,
4. Du phong dau tu tai chinh dai han (*),,,,(1080),(1566),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,14000,271000,,,
VI. Tai san dai han khac,,2726,8199,7038,9022,
1. Chi phi tra truoc dai han,,319,2036,4468,3798,
2. Tai san thue thu nhap hoan lai,,1453,3948,2570,5224,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,954,2215,,,
VII. Loi the thuong mai,,12608,10854,12969,10836,
TONG CONG TAI SAN,,1741228,3120586,8541570,7936912,
NGUON VON,,,,,,
A. NO PHAI TRA,,775292,1584344,4356226,3539099,
I. No ngan han,,212103,482217,1023700,1272169,
1. Phai tra nguoi ban ngan han,,2215,17694,48948,80103,
2. Nguoi mua tra tien truoc ngan han,,96524,77900,500981,670115,
3. Thue va cac khoan phai nop Nha nuoc,,51533,38939,91874,179044,
4. Phai tra nguoi lao dong,,64,,6862,4135,
5. Chi phi phai tra ngan han,,27326,27155,50045,50391,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,2601,8046,
9. Phai tra ngan han khac,,6793,85893,88847,74976,
10. Vay va no thue tai chinh ngan han,,16658,224032,218820,194352,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,10991,10605,14724,11008,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,563189,1102127,3332525,2266930,
1. Phai tra nguoi ban dai han,,,,50658,176,
2. Nguoi mua tra tien truoc dai han,,,,82011,80629,
3. Chi phi phai tra dai han,,,,106699,88832,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,208198,210189,
7. Phai tra dai han khac,,468,423,118060,101198,
8. Vay va no thue tai chinh dai han,,546606,1064731,2699216,1699929,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,16116,36974,65914,84038,
12. Du phong phai tra dai han,,,,1769,1937,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,965658,1498479,4185345,4397812,
I. Von chu so huu,,965658,1498479,4185345,4397812,
1. Von gop cua chu so huu,,480700,750000,1800000,2339999,
- Co phieu pho thong co quyen bieu quyet,,,,1800000,2339999,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,498373,604692,1159914,619915,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(55093),,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,23254,23254,34915,47936,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,6763,108872,269299,468979,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,8072,97204,
- LNST chua phan phoi ky nay,,,,261228,371775,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,921216,920983,
14. Quy du phong tai chinh,,11661,11661,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,278,37763,,,
TONG CONG NGUON VON,,1741228,3120586,8541570,7936912,
