TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,614221,682127,638644,663028,
I. Tien va cac khoan tuong duong tien,,220558,161055,190475,70180,
1. Tien,,15428,12457,21629,46521,
2. Cac khoan tuong duong tien,,205130,148598,168847,23659,
II. Dau tu tai chinh ngan han,,232009,377657,315232,397025,
1. Chung khoan kinh doanh,,232009,377657,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,315232,397025,
III. Cac khoan phai thu ngan han,,50189,59019,61509,71383,
1. Phai thu ngan han cua khach hang,,36382,34118,24069,24008,
2. Tra truoc cho nguoi ban ngan han,,14225,21807,26540,30925,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,5192,8874,16163,19011,
7. Du phong phai thu ngan han kho doi (*),,(5609),(5781),(5263),(2561),
8. Tai san thieu cho xu ly,,,,1,1,
IV. Hang ton kho,,103496,83533,70041,103947,
1. Hang ton kho,,104237,83705,70213,104120,
2. Du phong giam gia hang ton kho (*),,(741),(172),(172),(172),
V. Tai san ngan han khac,,7969,863,1386,20493,
1. Chi phi tra truoc ngan han,,,,69,234,
2. Thue GTGT duoc khau tru,,4583,3,3,9750,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2262,16,1135,10508,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1125,844,179,,
B. TAI SAN DAI HAN,,550739,627953,780434,1062116,
I. Cac khoan phai thu dai han,,,,60,60,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,60,60,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,495580,553137,599317,934184,
1. Tai san co dinh huu hinh,,473137,518198,598257,928164,
- Nguyen gia,,1515389,1662994,1848478,2283503,
- Gia tri hao mon luy ke (*),,(1042252),(1144796),(1250220),(1355339),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
