TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,247948,285516,283882,319771,
I. Tien va cac khoan tuong duong tien,,20352,10506,12455,24461,
1. Tien,,20352,10506,12455,24461,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,8400,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,(8400),
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,68566,94899,93043,115439,
1. Phai thu ngan han cua khach hang,,72328,63769,70345,80910,
2. Tra truoc cho nguoi ban ngan han,,12902,52002,41770,64192,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1406,1670,9477,1551,
7. Du phong phai thu ngan han kho doi (*),,(18069),(22542),(28548),(31214),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,149508,165766,170167,167869,
1. Hang ton kho,,150122,166380,170167,167869,
2. Du phong giam gia hang ton kho (*),,(614),(614),,,
V. Tai san ngan han khac,,9522,14344,8217,12002,
1. Chi phi tra truoc ngan han,,434,666,513,1232,
2. Thue GTGT duoc khau tru,,7432,9636,7257,10198,
3. Thue va cac khoan khac phai thu cua nha nuoc,,382,647,447,572,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1274,3395,,,
B. TAI SAN DAI HAN,,351950,372533,387696,385305,
I. Cac khoan phai thu dai han,,,,1658,1248,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1658,1248,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,311215,336902,352918,356726,
1. Tai san co dinh huu hinh,,297082,306831,339632,338465,
- Nguyen gia,,460559,485111,555938,595563,
- Gia tri hao mon luy ke (*),,(163477),(178281),(216306),(257098),
2. Tai san co dinh thue tai chinh,,,,,5391,
- Nguyen gia,,,,,6102,
- Gia tri hao mon luy ke (*),,,,,(711),
3. Tai san co dinh vo hinh,,14133,13706,13286,12869,
- Nguyen gia,,17318,17318,17318,17318,
- Gia tri hao mon luy ke (*),,(3186),(3612),(4032),(4449),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,10286,295,
1. Chi phi san xuat kinh doanh do dang dai han,,,,10286,,
2. Chi phi xay dung co ban do dang,,,16365,,295,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,8400,,
4. Du phong dau tu tai chinh dai han (*),,(8400),(8400),(8400),(8400),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,8400,8400,,8400,
VI. Tai san dai han khac,,7664,35631,22835,27036,
1. Chi phi tra truoc dai han,,544,28270,22835,27036,
2. Tai san thue thu nhap hoan lai,,7010,7251,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,109,109,,,
VII. Loi the thuong mai,,33071,,,,
TONG CONG TAI SAN,,599898,658048,671578,705076,
NGUON VON,,,,,,
A. NO PHAI TRA,,153126,149107,161543,188397,
I. No ngan han,,152863,148380,147629,170710,
1. Phai tra nguoi ban ngan han,,16831,15127,21832,16775,
2. Nguoi mua tra tien truoc ngan han,,1887,6040,3448,6110,
3. Thue va cac khoan phai nop Nha nuoc,,17055,16256,9868,4129,
4. Phai tra nguoi lao dong,,2986,5194,2469,2423,
5. Chi phi phai tra ngan han,,1246,1635,2542,2489,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,8332,4396,7132,14646,
10. Vay va no thue tai chinh ngan han,,101695,95050,95244,118857,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2831,4681,5093,5281,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,263,727,13914,17687,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,263,727,13914,17687,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,446772,508941,510035,516679,
I. Von chu so huu,,446772,508941,510035,516679,
1. Von gop cua chu so huu,,343982,444379,488814,488814,
- Co phieu pho thong co quyen bieu quyet,,,,488814,488814,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,72198,31761,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(13),(24),(35),(35),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,5151,6114,11939,12131,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,4410,5374,5599,5695,
11. Loi nhuan sau thue chua phan phoi,,16635,15964,3718,10075,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,1800,2879,
- LNST chua phan phoi ky nay,,,,1918,7196,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,4410,5374,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,599898,658048,671578,705076,
