TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,203722,25285,20026,22098,
I. Tien va cac khoan tuong duong tien,,4787,32,588,389,
1. Tien,,4787,32,588,389,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,198837,25250,19407,21710,
1. Phai thu ngan han cua khach hang,,18836,15174,9205,10705,
2. Tra truoc cho nguoi ban ngan han,,,75,75,75,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,60000,10000,10000,10000,
6. Phai thu ngan han khac,,120001,1,127,930,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,,,,
1. Hang ton kho,,,,,,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,98,3,32,,
1. Chi phi tra truoc ngan han,,96,,32,,
2. Thue GTGT duoc khau tru,,2,3,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,115254,284222,284198,284165,
I. Cac khoan phai thu dai han,,64,64,64,64,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,64,64,64,64,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,22,18,15,12,
1. Tai san co dinh huu hinh,,22,18,15,12,
- Nguyen gia,,42,42,42,42,
- Gia tri hao mon luy ke (*),,(20),(23),(27),(30),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
