TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,785554,852688,982957,834717,
I. Tien va cac khoan tuong duong tien,,119719,94473,69122,86470,
1. Tien,,119719,94473,69122,86470,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,393245,493087,370717,411233,
1. Phai thu ngan han cua khach hang,,317357,417276,289721,317982,
2. Tra truoc cho nguoi ban ngan han,,74737,73310,91079,107165,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1764,3114,338,7951,
7. Du phong phai thu ngan han kho doi (*),,(613),(613),(10420),(21865),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,265925,247890,515645,327023,
1. Hang ton kho,,265925,247890,515645,327023,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6665,17238,27473,9991,
1. Chi phi tra truoc ngan han,,6654,11765,2892,3249,
2. Thue GTGT duoc khau tru,,9,5471,24580,6740,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2,2,,2,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
